Time,gENSAE.delta,gENSAE.PELEC,gENSAE.PMECH,gENSAE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.32,36.640793,0.4,0.4000000059604645,-5.1967386e-10,1.0,0.99199355,1.0,0.9959842
0.322,36.640793,0.4,0.4000000059604645,-5.187372e-10,1.0,0.99199355,1.0,0.9959842
0.324,36.640793,0.4,0.4000000059604645,-5.1774685e-10,1.0,0.99199355,1.0,0.9959842
0.326,36.640793,0.4,0.4000000059604645,-5.1670285e-10,1.0,0.99199355,1.0,0.9959842
0.328,36.640793,0.4,0.4000000059604645,-5.156056e-10,1.0,0.99199355,1.0,0.9959842
0.33,36.640793,0.4,0.4000000059604645,-5.1445526e-10,1.0,0.99199355,1.0,0.9959842
0.332,36.640793,0.4,0.4000000059604645,-5.1325205e-10,1.0,0.99199355,1.0,0.9959842
0.334,36.640793,0.4,0.4000000059604645,-5.119963e-10,1.0,0.99199355,1.0,0.9959842
0.336,36.640793,0.4,0.4000000059604645,-5.1068816e-10,1.0,0.99199355,1.0,0.9959842
0.338,36.640793,0.4,0.4000000059604645,-5.093279e-10,1.0,0.99199355,1.0,0.9959842
0.34,36.640793,0.4,0.4000000059604645,-5.079159e-10,1.0,0.99199355,1.0,0.9959842
0.342,36.640793,0.4,0.4000000059604645,-5.0645227e-10,1.0,0.99199355,1.0,0.9959842
0.344,36.640793,0.4,0.4000000059604645,-5.049374e-10,1.0,0.99199355,1.0,0.9959842
0.346,36.640793,0.4,0.4000000059604645,-5.033715e-10,1.0,0.99199355,1.0,0.9959842
0.348,36.640793,0.4,0.4000000059604645,-5.017549e-10,1.0,0.99199355,1.0,0.9959842
0.35,36.640793,0.4,0.4000000059604645,-5.0008786e-10,1.0,0.99199355,1.0,0.9959842
0.352,36.640793,0.4,0.4000000059604645,-4.983706e-10,1.0,0.99199355,1.0,0.9959842
0.354,36.640793,0.4,0.4000000059604645,-4.966036e-10,1.0,0.99199355,1.0,0.9959842
0.356,36.640793,0.4,0.4000000059604645,-4.9478704e-10,1.0,0.99199355,1.0,0.9959842
0.358,36.640793,0.4,0.4000000059604645,-4.929212e-10,1.0,0.99199355,1.0,0.9959842
0.36,36.640793,0.4,0.4000000059604645,-4.9100646e-10,1.0,0.99199355,1.0,0.9959842
0.362,36.640793,0.4,0.4000000059604645,-4.8904314e-10,1.0,0.99199355,1.0,0.9959842
0.364,36.640793,0.4,0.4000000059604645,-4.8703147e-10,1.0,0.99199355,1.0,0.9959842
0.366,36.640793,0.4,0.4000000059604645,-4.849719e-10,1.0,0.99199355,1.0,0.9959842
0.368,36.640793,0.4,0.4000000059604645,-4.828647e-10,1.0,0.99199355,1.0,0.9959842
0.37,36.640793,0.39999998,0.4000000059604645,-4.8071025e-10,1.0,0.99199355,1.0,0.9959842
0.372,36.640793,0.39999998,0.4000000059604645,-4.785088e-10,1.0,0.99199355,1.0,0.9959842
0.374,36.640793,0.39999998,0.4000000059604645,-4.7626075e-10,1.0,0.99199355,1.0,0.9959842
0.376,36.640793,0.39999998,0.4000000059604645,-4.739665e-10,1.0,0.99199355,1.0,0.9959842
0.378,36.640793,0.39999998,0.4000000059604645,-4.716263e-10,1.0,0.99199355,1.0,0.9959842
0.38,36.640793,0.39999998,0.4000000059604645,-4.692406e-10,1.0,0.99199355,1.0,0.9959842
0.382,36.640793,0.39999998,0.4000000059604645,-4.668097e-10,1.0,0.99199355,1.0,0.9959842
0.384,36.640793,0.39999998,0.4000000059604645,-4.6433402e-10,1.0,0.99199355,1.0,0.9959842
0.386,36.640793,0.39999998,0.4000000059604645,-4.618139e-10,1.0,0.99199355,1.0,0.9959842
0.388,36.640793,0.39999998,0.4000000059604645,-4.5924972e-10,1.0,0.99199355,1.0,0.9959842
0.39,36.640793,0.39999998,0.4000000059604645,-4.5664186e-10,1.0,0.99199355,1.0,0.9959842
0.392,36.640793,0.39999998,0.4000000059604645,-4.539907e-10,1.0,0.99199355,1.0,0.9959842
0.394,36.640793,0.39999998,0.4000000059604645,-4.5129667e-10,1.0,0.99199355,1.0,0.9959842
0.396,36.640793,0.39999998,0.4000000059604645,-4.485601e-10,1.0,0.99199355,1.0,0.9959842
