Time,gENSAL.delta,gENSAL.PELEC,gENSAL.SPEED,hYGOV.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.44,0.35474816,0.40000424,-2.8921673e-07,0.39999938,1.0000017,0.99199593,1.0000027,0.99598676
0.442,0.35474798,0.40000424,-2.902351e-07,0.39999938,1.0000017,0.99199593,1.0000027,0.99598676
0.444,0.35474783,0.4000042,-2.912505e-07,0.39999938,1.0000017,0.99199593,1.0000027,0.99598676
0.446,0.35474765,0.4000042,-2.9226294e-07,0.39999938,1.0000017,0.99199593,1.0000027,0.99598676
0.448,0.35474747,0.40000418,-2.9327245e-07,0.39999938,1.0000017,0.99199593,1.0000027,0.99598676
0.45,0.3547473,0.40000418,-2.9427898e-07,0.39999938,1.0000017,0.9919959,1.0000027,0.99598676
0.452,0.35474712,0.40000415,-2.9528258e-07,0.39999938,1.0000017,0.9919959,1.0000027,0.9959867
0.454,0.35474694,0.40000415,-2.9628322e-07,0.39999938,1.0000017,0.9919959,1.0000027,0.9959867
0.456,0.35474676,0.40000412,-2.9728088e-07,0.39999938,1.0000017,0.9919959,1.0000027,0.9959867
0.458,0.35474658,0.40000412,-2.982756e-07,0.39999938,1.0000017,0.9919959,1.0000027,0.9959867
0.46,0.3547464,0.4000041,-2.9926736e-07,0.39999938,1.0000017,0.9919959,1.0000027,0.9959867
0.462,0.3547462,0.4000041,-3.0025618e-07,0.39999938,1.0000017,0.9919959,1.0000027,0.9959867
0.464,0.354746,0.40000406,-3.0124204e-07,0.39999938,1.0000017,0.9919959,1.0000027,0.9959867
0.466,0.35474584,0.40000406,-3.0222495e-07,0.39999938,1.0000017,0.9919959,1.0000027,0.9959867
0.468,0.35474566,0.40000403,-3.0320487e-07,0.39999938,1.0000017,0.9919958,1.0000026,0.99598664
0.47,0.35474548,0.400004,-3.0418187e-07,0.39999938,1.0000015,0.9919958,1.0000026,0.99598664
0.472,0.3547453,0.400004,-3.051559e-07,0.39999938,1.0000015,0.9919958,1.0000026,0.99598664
0.474,0.3547451,0.40000397,-3.06127e-07,0.39999938,1.0000015,0.9919958,1.0000026,0.99598664
0.476,0.3547449,0.40000397,-3.0709512e-07,0.39999938,1.0000015,0.9919958,1.0000026,0.99598664
0.478,0.35474473,0.40000394,-3.080603e-07,0.39999938,1.0000015,0.9919958,1.0000026,0.99598664
0.48,0.35474452,0.40000394,-3.090225e-07,0.39999938,1.0000015,0.9919958,1.0000026,0.99598664
