Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,tGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
9.144,17197.42,0.00050402037,0.25174198,0.320953,0.14199056,5.6594546e-30,0.012824165,0.0064120824
9.146,17206.482,0.00050400494,0.25180176,0.320946,0.14198838,3.3271583e-29,0.012824165,0.0064120824
9.148,17215.547,0.0005039895,0.25186154,0.32093903,0.14198622,1.4092562e-29,0.012824165,0.0064120824
9.15,17224.615,0.00050397415,0.25192133,0.32093206,0.14198405,1.0500715e-28,0.012824165,0.0064120824
9.152,17233.688,0.0005039588,0.25198108,0.3209251,0.14198188,1.33884675e-17,0.012824165,0.0064120824
9.154,17242.758,0.0005039434,0.25204086,0.3209181,0.14197972,2.37179e-28,0.012824165,0.0064120824
9.156,17251.834,0.0005039281,0.25210062,0.32091114,0.14197756,1.00693416e-17,0.012824165,0.0064120824
9.158,17260.91,0.0005039128,0.2521604,0.32090417,0.1419754,9.3003754e-18,0.012824165,0.0064120824
9.16,17269.99,0.0005038975,0.25222015,0.3208972,0.14197326,1.8143633e-17,0.012824165,0.0064120824
9.162,17279.07,0.00050388224,0.2522799,0.32089025,0.1419711,3.775731e-29,0.012824165,0.0064120824
9.164,17288.154,0.000503867,0.25233966,0.32088327,0.14196895,4.4680196e-29,0.012824165,0.0064120824
9.166,17297.238,0.00050385174,0.2523994,0.32087633,0.1419668,6.254469e-28,0.012824165,0.0064120824
9.168,17306.326,0.00050383655,0.25245914,0.32086936,0.14196466,1.5473959e-17,0.012824165,0.0064120824
9.17,17315.414,0.00050382136,0.2525189,0.3208624,0.14196253,7.6544996e-29,0.012824165,0.0064120824
9.172,17324.508,0.0005038062,0.25257862,0.32085544,0.14196038,7.072523e-29,0.012824165,0.0064120824
9.174,17333.602,0.00050379103,0.25263834,0.3208485,0.14195825,5.6277635e-29,0.012824165,0.0064120824
9.176,17342.697,0.00050377595,0.25269806,0.32084155,0.14195612,7.740701e-30,0.012824165,0.0064120824
9.178,17351.795,0.0005037608,0.2527578,0.3208346,0.14195399,7.665067e-29,0.012824165,0.0064120824
9.18,17360.896,0.00050374574,0.2528175,0.32082766,0.14195187,1.5451608e-28,0.012824165,0.0064120824
9.182,17369.998,0.00050373067,0.25287724,0.32082072,0.14194974,1.833025e-17,0.012824165,0.0064120824
9.184,17379.104,0.00050371565,0.25293693,0.32081378,0.14194763,1.3903526e-17,0.012824165,0.0064120824
9.186,17388.209,0.00050370063,0.25299662,0.32080686,0.14194551,4.6641084e-30,0.012824165,0.0064120824
9.188,17397.32,0.0005036856,0.25305635,0.32079992,0.1419434,2.9447004e-30,0.012824165,0.0064120824
9.19,17406.43,0.00050367066,0.25311604,0.32079297,0.1419413,9.329337e-18,0.012824165,0.0064120824
9.192,17415.543,0.0005036557,0.25317574,0.32078606,0.14193918,5.068302e-30,0.012824165,0.0064120824
9.194,17424.66,0.00050364074,0.25323543,0.32077911,0.14193708,1.6009221e-30,0.012824165,0.0064120824
9.196,17433.775,0.00050362584,0.2532951,0.3207722,0.14193498,6.323597e-30,0.012824165,0.0064120824
9.198,17442.896,0.00050361094,0.2533548,0.3207653,0.14193287,6.836868e-18,0.012824165,0.0064120824
9.2,17452.018,0.00050359603,0.25341445,0.32075834,0.14193077,3.342316e-31,0.012824165,0.0064120824
9.202,17461.143,0.0005035812,0.25347412,0.32075143,0.14192869,4.393049e-30,0.012824165,0.0064120824
9.204,17470.268,0.00050356635,0.25353378,0.3207445,0.1419266,1.151717e-30,0.012824165,0.0064120824
9.206,17479.395,0.00050355156,0.25359344,0.3207376,0.1419245,6.7760715e-30,0.012824165,0.0064120824
9.208,17488.525,0.0005035367,0.2536531,0.3207307,0.14192241,7.199691e-30,0.012824165,0.0064120824
9.21,17497.658,0.000503522,0.25371277,0.32072377,0.14192034,9.402614e-18,0.012824165,0.0064120824
9.212,17506.795,0.0005035072,0.25377244,0.3207169,0.14191826,3.22914e-29,0.012824165,0.0064120824
