Time,gENCLS2.delta,gENCLS2.P,gENCLS2.omega,GEN1.V,LOAD.V,GEN2.V,FAULT.V
2.904,-3.207597327607091,0.10570811632995723,0.0011663114880159343,1.003529266588909,0.9934004740831288,0.9995855933141852,0.996296079619733
2.906,-3.164728302790391,0.10678357273479562,0.001215271128370722,1.003532118293296,0.993414136529956,0.9996027896192392,0.9963125836482003
2.908,-3.1201000014907327,0.107903188714574,0.0012640478437636474,1.0035349654580945,0.9934282139401611,0.9996205698245896,0.9963296280467283
2.91,-3.0737191413208245,0.10906679797239852,0.0013126342880306456,1.0035377930122267,0.9934426866470196,0.9996389165863079,0.996347193761533
2.912,-3.0255927038497354,0.11027422751905334,0.0013610231432815657,1.0035405853709047,0.9934575343058515,0.9996578119583434,0.996365261079387
2.914,-2.975727933564885,0.11152529768159257,0.0014092071210149374,1.0035433264470033,0.9934727359079808,0.9996772374043459,0.9963838096408407
2.916,-2.9241323367940946,0.11281982211258468,0.0014571789632310788,1.003545999662818,0.9934882697951598,0.9996971738098864,0.9964028184538868
2.918,-2.870813680587418,0.11415760780005152,0.0015049314435437774,1.0035485879621941,0.9935041136744535,0.9997176014950665,0.9964222659080602
2.92,-2.8157799915591677,0.11553845507812642,0.0015524573682900854,1.0035510738230233,0.9935202446335704,0.999738500227509,0.9964421297889611
2.922,-2.75903955468983,0.11696215763847627,0.0015997495776384446,1.0035534392700998,0.9935366391566361,0.9997598492357234,0.9964623872931991
2.924,-2.7006009120883196,0.11842850254251432,0.0016468009466946733,1.0035556658883282,0.9935532731403963,0.9997816272228375,0.9964830150437429
2.926,-2.640472861714253,0.11993727023444689,0.0016936043866060174,1.0035577348362732,0.9935701219108393,0.9998038123806867,0.9965039891056706
2.928,-2.578664456060727,0.12148823455518494,0.001740152845662787,1.003559626860046,0.9935871602402293,0.9998263824042515,0.9965252850023075
2.93,-2.5151850007972585,0.1230811627571623,0.0017864393103977675,1.0035613223075164,0.9936043623645412,0.9998493145064372,0.9965468777317453
2.932,-2.450044053373426,0.12471581552009169,0.001832456806682916,1.003562801142844,0.9936217020012824,0.999872585433185,0.9965687417837312
2.934,-2.3832514215828344,0.12639194696770406,0.0018781984008235171,1.0035640429613166,0.9936391523676948,0.9998961714789059,0.9965908511569145
2.936,-2.3148171620879885,0.12810930468549897,0.0019236572006492984,1.0035650270044927,0.9936566861993231,0.9999200485022259,0.9966131793764433
2.938,-2.2447515789056935,0.12986762973955446,0.0019688263566026657,1.0035657321756293,0.9936742757689401,0.9999441919420393,0.9966356995118998
2.94,-2.173065221853583,0.13166665669642208,0.002013699062823549,1.0035661370553952,0.9936918929058141,0.9999685768338508,0.996658384195561
2.942,-2.0997688849574065,0.13350611364415876,0.002058268558231002,1.003566219917855,0.9937095090153113,0.9999931778264054,0.9966812056409767
2.944,-2.0248736048196943,0.13538572221451803,0.0021025281276010367,1.0035659587467134,0.9937270950988172,1.0000179691985915,0.9967041356618525
2.946,-1.94839065894943,0.13730519760635185,0.0021464711026408212,1.0035653312518125,0.9937446217739646,1.0000429248766058,0.9967271456912227
2.948,-1.8703315640533884,0.13926424861024872,0.0021900908630587156,1.0035643148858713,0.9937620592951605,1.0000680184513735,0.9967502068009088
2.95,-1.790708074288758,0.14126257763445435,0.0022333808376302513,1.003562886861452,0.993779377574391,1.0000932231962094,0.9967732897212422
2.952,-1.7095321794777407,0.1432998807321029,0.002276334505259527,1.0035610241681538,0.9937965462023014,1.0001185120847114,0.9967963648610484
2.954,-1.6268161032837443,0.14537584762980305,0.002318945396036108,1.003558703590009,0.993813534469527,1.0001438578088735,0.9968194023278707
2.956,-1.5425723013499015,0.14749016175760543,0.002361207092286893,1.0035559017230822,0.9938303113882722,1.0001692327974083,0.9968423719484306
2.958,-1.4568134593995186,0.14964250028039627,0.0024031132296230186,1.0035525949932553,0.9938468457141161,1.0001946092342688,0.9968652432893033
2.96,-1.3695524912992307,0.1518325341307398,0.0024446574979812637,1.003548759674191,0.9938631059680356,1.0002199590773544,0.9968879856778016
2.962,-1.2808025370844631,0.15405992804321636,0.0024858336426600023,1.0035443719054569,0.9938790604586298,1.0002452540773918,0.9969105682230521
2.964,-1.1905769609480101,0.15632434059027406,0.0025266354653491617,1.0035394077108086,0.9938946773045351,1.0002704657969819,0.9969329598372524
2.966,-1.0988893491913319,0.15862542421964013,0.0025670568251542217,1.0035338430166092,0.9939099244570093,1.0002955656297934,0.9969551292570918
2.968,-1.0057535081394202,0.1609628252933093,0.002607091639613701,1.0035276536703843,0.9939247697226815,1.0003205248198985,0.9969770450653292
2.97,-0.9111834620188278,0.16333618412815312,0.002646733885710158,1.003520815459491,0.9939391807864434,1.000345314481234,0.9969986757125074
2.972,-0.8151934507997564,0.16574513503816182,0.002685977600874142,1.0035133041298936,0.993953125234472,1.0003699056171778,0.9970199895387934
2.974,-0.7177979280017942,0.16818930637836585,0.0027248168839811068,1.0035050954050353,0.9939665705773703,1.0003942691402266,0.9970409547959325
2.976,-0.6190115584642399,0.17066832059044407,0.002763245896340725,1.0034961650047916,0.9939794842734071,1.0004183758917644,0.9970615396692971
2.978,-0.5188492160806031,0.1731817942500609,0.0028012588626785935,1.0034864886644908,0.9939918337518453,1.000442196661909,0.9970817123000235
2.98,-0.4173259814982583,0.17572933811594046,0.0028388500721097712,1.0034760421539957,0.9940035864363407,1.0004657022094199,0.9971014408072143
2.982,-0.31445713978284495,0.1783105571807159,0.002876013879104122,1.003464801296826,0.9940147097683979,1.0004888632816622,0.997120693310199
2.984,-0.21025817804842972,0.1809250507235572,0.0029127447044429034,1.0034527419893158,0.9940251712308671,1.0005116506346057,0.9971394379508348
2.986,-0.1047447830530261,0.18357241236461627,0.002949037036166564,1.0034398402197922,0.9940349383714695,1.0005340350528562,0.9971576429158359
2.988,0.002067161239471503,0.18625223012128755,0.0029848854305131855,1.0034260720877561,0.9940439788263308,1.0005559873696932,0.9971752764591126
2.99,0.11016157613134181,0.18896408646631838,0.003020284512847523,1.0034114138230643,0.9940522603435131,1.0005774784871142,0.9971923069241122
2.992,0.21952219069598033,0.19170755838776662,0.0030552289785800786,1.003395841805087,0.9940597508065266,1.000598479395863,0.9972087027661412
2.994,0.33013254431613226,0.1944822174508366,0.003089713594076152,1.0033793325818405,0.994066418257808,1.0006189611954368,0.9972244325746582
2.996,0.44197598925427506,0.1972876298615839,0.0031237331975543054,1.0033618628890726,0.994072230922147,1.0006388951140506,0.9972394650955212
2.998,0.5550356932555458,0.20012335653252003,0.003157282699974175,1.0033434096692926,0.9940771572300503,1.0006582525285548,0.9972537692531758
3.0,0.6692946421820337,0.20298895315010348,0.0031903570859130696,1.0033239500907345,0.9940811658410235,1.0006770049842864,0.9972673141727695
3.002,0.7847356426788017,0.20588397024414137,0.003222951414431276,1.0033034615662368,0.9940842256667588,1.000695124214845,0.9972800692021786
3.004,0.9013413248705981,0.20880795325909146,0.003255060819925562,1.0032819217720281,0.9940863058942113,1.0007125821617777,0.9972920039339299
3.006,1.0190941450890738,0.21176044262727042,0.003286680512970639,1.0032593086664081,0.9940873760085498,1.0007293509941637,0.9973030882270095
3.008,1.137976388630333,0.21474097384397675,0.0033178057811483366,1.003235600508307,0.9940874058159673,1.0007454031280807,0.9973132922285367
3.01,1.257970172541714,0.21774907754450754,0.003348431989863988,1.0032107758757134,0.9940863654663349,1.0007607112459465,0.9973225863952945
3.012,1.3790574484381493,0.22078427958308686,0.0033785545831499374,1.0031848136839596,0.9940842254756834,1.000775248315716,0.9973309415150996
3.014,1.501220005346785,0.22384610111367786,0.003408169084455622,1.0031576932038482,0.9940809567485044,1.000788987609931,0.9973383287280007
3.016,1.6244394725802336,0.2269340586726905,0.003437271097424136,1.00312939407961,0.9940765305998439,1.000801902724596,0.9973447195472859
3.018,1.7486973226370934,0.23004766426355433,0.0034658563066547483,1.0030998963466815,0.9940709187771869,1.0008139675978838,0.9973500858802922
3.02,1.8739748741301057,0.23318642544316387,0.0034939204784512736,1.003069180449288,0.9940640934821093,1.0008251565286446,0.9973544000489978
3.022,2.000253294740548,0.23634984541016196,0.003521459461555779,1.0030372272578219,0.9940560273916862,1.0008354441947167,0.9973576348103864
3.024,2.1275136041992178,0.23953742309506326,0.0035484691878675235,1.0030040180860014,0.9940466936796418,1.0008448056710173,0.9973597633765686
3.026,2.255736677292582,0.24274865325218048,0.0035749456731466295,1.0029695347078034,0.9940360660372299,1.000853216447412,0.9973607594346487
3.028,2.38490324689443,0.24598302655335172,0.0036008850177023776,1.002933759374152,0.9940241186938229,1.0008606524463413,0.997360597166322
3.03,2.5149939070215646,0.24924002968342335,0.00362628340706564,1.0028966748293577,0.9940108264372052,1.0008670900401986,0.9973592512671905
3.032,2.6459891159138746,0.25251914543748794,0.0036511371126453454,1.0028582643272874,0.9939961646335511,1.0008725060684458,0.9973566969657841
3.034,2.777869199137287,0.25581985281982483,0.003675442492368506,1.0028185116472668,0.9939801092470769,1.0008768778544552,0.997352910042275
3.036,2.910614352709919,0.25914162714453703,0.003699195991303699,1.002777401109688,0.9939626368593506,1.0008801832220675,0.9973478668468704
3.038,3.044204646249911,0.2624839401378309,0.003722394142267554,1.0027349175913276,0.9939437246882519,1.000882400511854,0.9973415443178767
3.04,3.1786200261452513,0.26584626004192724,0.003745033566414139,1.0026910465403518,0.9939233506065629,1.000883508597071,0.9973339199994152
3.042,3.3138403187440355,0.26922805172054426,0.0037671109738068175,1.0026457739910046,0.9939014931601831,1.0008834868993002,0.9973249720587865
3.044,3.4498452335654655,0.27262877676593966,0.0037886231639724702,1.002599086577968,0.9938781315859517,1.0008823154037574,0.9973146793034622
3.046,3.586614366530005,0.2760478936074468,0.0038095670264376782,1.0025509715503813,0.9938532458290702,1.0008799746742676,0.9973030211977042
3.048,3.724127203208989,0.27948485762148895,0.0038299395412467662,1.0025014167855153,0.9938268165601071,1.0008764458678905,0.997289977878788
3.05,3.8623631220920642,0.2829391212430012,0.0038497377794613173,1.002450410802083,0.9937988251915787,1.000871710749187,0.997275530172828
3.052,4.001301397872773,0.28641013407824273,0.0038689589036410765,1.0023979427731875,0.9937692538940943,1.0008657517041215,0.9972596596101918
3.054,4.1409212047506045,0.28989734301892306,0.0038876001683058672,1.0023440025388881,0.9937380856120492,1.000858551753586,0.9972423484404911
3.056,4.281201619749845,0.29340019235762244,0.0039056589203784516,1.0022885806183846,0.9937053040788649,1.0008500945665406,0.9972235796471426
3.058,4.422121626053504,0.2969181239044268,0.0039231325996079815,1.002231668221804,0.9936708938317541,1.0008403644727577,0.9972033369614857
3.06,4.563660116352652,0.30045057710475165,0.003940018738973976,1.0021732572615856,0.9936348402260137,1.0008293464751654,0.9971816048764509
3.062,4.705795896209436,0.3039969891582761,0.003956314965070508,1.0021133403634541,0.9935971294488232,1.00081702626178,0.9971583686597668
3.064,4.848507687434073,0.3075567951389539,0.003972018998470536,1.0020519108769723,0.9935577485325483,1.0008033902172178,0.9971336143666988
3.066,4.9917741314740915,0.311129428116022,0.003987128654070094,1.001988962885671,0.9935166853675393,1.0007884254337844,0.9971073288523107
3.068,5.135573792816111,0.31471431927597027,0.004001641841412283,1.00192449121674,0.9934739287144092,1.0007721197221267,0.9970794997832396
3.07,5.279885162398408,0.31831089804538865,0.004015556564990815,1.0018584914502806,0.9934294682157928,1.0007544616214448,0.9970501156489788
3.072,5.424686661034545,0.3219185922146546,0.004028870924533058,1.0017909599281116,0.9933832944075714,1.000735440409259,0.997019165772659
3.074,5.569956642846313,0.3255368280623731,0.004041583115262351,1.0017218937621166,0.9933353987295589,1.0007150461107188,0.9969866403213211
3.076,5.71567339870626,0.32916503048052936,0.004053691428139573,1.0016512908421358,0.9932857735356421,1.0006932695074566,0.9969525303156752
3.078,5.861815159688004,0.33280262310026504,0.004065194250083748,1.0015791498433892,0.9932344121033652,1.0006701021459699,0.9969168276393364
3.08,6.0083601005246585,0.3364490284182358,0.004076090064171687,1.0015054702334292,0.9931813086429581,1.000645536345538,0.996879525047536
3.082,6.1552863430735165,0.3401036679234583,0.004086377449816482,1.001430252278615,0.9931264583057959,1.0006195652056578,0.9968406161752957
3.084,6.302571959787318,0.34376596222460276,0.004096055082924866,1.0013534970501081,0.9930698571922872,1.000592182613,0.9968000955450674
3.086,6.450194977190277,0.3474353311776385,0.004105121736033283,1.0012752064293802,0.9930115023591878,1.0005633832478817,0.9967579585738264
3.088,6.598133379359136,0.35111119401378404,0.0041135762784227,1.0011953831132308,0.9929513918263277,1.000533162590244,0.9967142015796172
3.09,6.7463651114074565,0.35479296946767197,0.004121417676212036,1.0011140306183122,0.9928895245827583,1.0005015169251412,0.9966688217875481
3.092,6.894868082973411,0.35848007590567593,0.00412864499243025,1.0010311532851572,0.9928259005923031,1.0004684433477293,0.9966218173352281
3.094,7.043620171709253,0.36217193145430765,0.004135257387067004,1.0009467562817054,0.9927605207985184,1.0004339397677575,0.9965731872776453
3.096,7.19259922677276,0.3658679541286353,0.004141254117101952,1.0008608456063262,0.9926933871290535,1.0003980049135524,0.9965229315914809
3.098,7.341783072318818,0.3695675619606253,0.004146634536512602,1.0007734280903393,0.9926245024994143,1.0003606383355015,0.9964710511788601
3.1,7.491149510991424,0.3732701731273607,0.004151398096260829,1.0006845114000238,0.9925538708161197,1.0003218404090275,0.996417547870533
3.102,7.640676327414298,0.3769752060790376,0.004155544344258004,1.0005941040381203,0.9924814969792569,1.0002816123370508,0.9963624244284874
3.104,7.790341291680382,0.38068207966669176,0.004159072925308838,1.0005022153448229,0.992407386884429,1.0002399561519475,0.9963056845479898
