Time,wT4G1.P,wT4G1.Q,GEN1.V,FAULT.V,GEN2.V
1.58833, 0.015, -0.0566568, 1, 1.0001, 1
1.59333, 0.015, -0.0566568, 1, 1.0001, 1
1.59833, 0.015, -0.0566568, 1, 1.0001, 1
1.60333, 0.015, -0.0566568, 1, 1.0001, 1
1.60833, 0.015, -0.0566568, 1, 1.0001, 1
1.61333, 0.015, -0.0566568, 1, 1.0001, 1
1.61833, 0.015, -0.0566568, 1, 1.0001, 1
1.62333, 0.015, -0.0566568, 1, 1.0001, 1
1.62833, 0.015, -0.0566568, 1, 1.0001, 1
1.63333, 0.015, -0.0566568, 1, 1.0001, 1
1.63833, 0.015, -0.0566568, 1, 1.0001, 1
1.64333, 0.015, -0.0566568, 1, 1.0001, 1
1.64833, 0.015, -0.0566568, 1, 1.0001, 1
1.65333, 0.015, -0.0566568, 1, 1.0001, 1
1.65833, 0.015, -0.0566568, 1, 1.0001, 1
1.66333, 0.015, -0.0566568, 1, 1.0001, 1
1.66833, 0.015, -0.0566568, 1, 1.0001, 1
1.67333, 0.015, -0.0566568, 1, 1.0001, 1
1.67833, 0.015, -0.0566568, 1, 1.0001, 1
1.68333, 0.015, -0.0566568, 1, 1.0001, 1
1.68833, 0.015, -0.0566568, 1, 1.0001, 1
1.69333, 0.015, -0.0566568, 1, 1.0001, 1
1.69833, 0.015, -0.0566568, 1, 1.0001, 1
1.70333, 0.015, -0.0566568, 1, 1.0001, 1
1.70833, 0.015, -0.0566568, 1, 1.0001, 1
1.71333, 0.015, -0.0566568, 1, 1.0001, 1
1.71833, 0.015, -0.0566568, 1, 1.0001, 1
1.72333, 0.015, -0.0566568, 1, 1.0001, 1
1.72833, 0.015, -0.0566568, 1, 1.0001, 1
1.73333, 0.015, -0.0566568, 1, 1.0001, 1
1.73833, 0.015, -0.0566568, 1, 1.0001, 1
1.74333, 0.015, -0.0566568, 1, 1.0001, 1
1.74833, 0.015, -0.0566568, 1, 1.0001, 1
1.75333, 0.015, -0.0566568, 1, 1.0001, 1
1.75833, 0.015, -0.0566568, 1, 1.0001, 1
1.76333, 0.015, -0.0566568, 1, 1.0001, 1
1.76833, 0.015, -0.0566568, 1, 1.0001, 1
1.77333, 0.015, -0.0566568, 1, 1.0001, 1
1.77833, 0.015, -0.0566568, 1, 1.0001, 1
1.78333, 0.015, -0.0566568, 1, 1.0001, 1
1.78833, 0.015, -0.0566568, 1, 1.0001, 1
1.79333, 0.015, -0.0566568, 1, 1.0001, 1
1.79833, 0.015, -0.0566568, 1, 1.0001, 1
1.80333, 0.015, -0.0566568, 1, 1.0001, 1
1.80833, 0.015, -0.0566568, 1, 1.0001, 1
1.81333, 0.015, -0.0566568, 1, 1.0001, 1
1.81833, 0.015, -0.0566568, 1, 1.0001, 1
1.82333, 0.015, -0.0566568, 1, 1.0001, 1
1.82833, 0.015, -0.0566568, 1, 1.0001, 1
1.83333, 0.015, -0.0566568, 1, 1.0001, 1
1.83833, 0.015, -0.0566568, 1, 1.0001, 1
1.84333, 0.015, -0.0566568, 1, 1.0001, 1
1.84833, 0.015, -0.0566568, 1, 1.0001, 1
1.85333, 0.015, -0.0566568, 1, 1.0001, 1
1.85833, 0.015, -0.0566568, 1, 1.0001, 1
1.86333, 0.015, -0.0566568, 1, 1.0001, 1
1.86833, 0.015, -0.0566568, 1, 1.0001, 1
1.87333, 0.015, -0.0566568, 1, 1.0001, 1
1.87833, 0.015, -0.0566568, 1, 1.0001, 1
1.88333, 0.015, -0.0566568, 1, 1.0001, 1
1.88833, 0.015, -0.0566568, 1, 1.0001, 1
1.89333, 0.015, -0.0566568, 1, 1.0001, 1
1.89833, 0.015, -0.0566568, 1, 1.0001, 1
1.90333, 0.015, -0.0566568, 1, 1.0001, 1
1.90333, 0.015, -0.0566568, 1, 1.0001, 1
1.90338, 0.015, -0.0566568, 1, 1.0001, 1
1.90343, 0.015, -0.0566568, 1, 1.0001, 1
1.90348, 0.015, -0.0566568, 1, 1.0001, 1
1.90353, 0.015, -0.0566568, 1, 1.0001, 1
1.90358, 0.015, -0.0566568, 1, 1.0001, 1
1.90363, 0.015, -0.0566568, 1, 1.0001, 1
1.90368, 0.015, -0.0566568, 1, 1.0001, 1
1.90373, 0.015, -0.0566568, 1, 1.0001, 1
1.90378, 0.015, -0.0566568, 1, 1.0001, 1
1.90383, 0.015, -0.0566568, 1, 1.0001, 1
1.90388, 0.015, -0.0566568, 1, 1.0001, 1
1.90393, 0.015, -0.0566568, 1, 1.0001, 1
1.90398, 0.015, -0.0566568, 1, 1.0001, 1
1.90403, 0.015, -0.0566568, 1, 1.0001, 1
1.90408, 0.015, -0.0566568, 1, 1.0001, 1
1.90413, 0.015, -0.0566568, 1, 1.0001, 1
1.90418, 0.015, -0.0566568, 1, 1.0001, 1
1.90423, 0.015, -0.0566568, 1, 1.0001, 1
1.90428, 0.015, -0.0566568, 1, 1.0001, 1
1.90433, 0.015, -0.0566568, 1, 1.0001, 1
1.90438, 0.015, -0.0566568, 1, 1.0001, 1
1.90443, 0.015, -0.0566568, 1, 1.0001, 1
1.90448, 0.015, -0.0566568, 1, 1.0001, 1
1.90453, 0.015, -0.0566568, 1, 1.0001, 1
1.90458, 0.015, -0.0566568, 1, 1.0001, 1
1.90463, 0.015, -0.0566568, 1, 1.0001, 1
1.90468, 0.015, -0.0566568, 1, 1.0001, 1
1.90473, 0.015, -0.0566568, 1, 1.0001, 1
1.90478, 0.015, -0.0566568, 1, 1.0001, 1
1.90483, 0.015, -0.0566568, 1, 1.0001, 1
1.90488, 0.015, -0.0566568, 1, 1.0001, 1
1.90493, 0.015, -0.0566568, 1, 1.0001, 1
1.90498, 0.015, -0.0566568, 1, 1.0001, 1
1.90503, 0.015, -0.0566568, 1, 1.0001, 1
1.90508, 0.015, -0.0566568, 1, 1.0001, 1
1.90513, 0.015, -0.0566568, 1, 1.0001, 1
1.90518, 0.015, -0.0566568, 1, 1.0001, 1
1.90523, 0.015, -0.0566568, 1, 1.0001, 1
