Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eXST1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
8.936,18379.14,6.565287e-05,0.28292534,0.30676574,0.051246274,5.014132e-18,0.012824165,0.0064120824
8.938,18389.328,6.5582135e-05,0.28299814,0.30660042,0.05121866,7.178912e-18,0.012824165,0.0064120824
8.94,18399.516,6.551146e-05,0.28307098,0.3064352,0.051191054,1.2838164e-17,0.012824165,0.0064120824
8.942,18409.709,6.544087e-05,0.2831438,0.30627006,0.05116347,3.0655473e-30,0.012824165,0.0064120824
8.944,18419.904,6.5370354e-05,0.28321663,0.306105,0.051135894,4.5535134e-30,0.012824165,0.0064120824
8.946,18430.1,6.5299915e-05,0.28328943,0.30594003,0.051108334,1.0723427e-29,0.012824165,0.0064120824
8.948,18440.3,6.522955e-05,0.28336224,0.30577514,0.05108079,8.192982e-18,0.012824165,0.0064120824
8.95,18450.504,6.5159256e-05,0.28343505,0.30561036,0.05105326,1.3283193e-30,0.012824165,0.0064120824
8.952,18460.709,6.508904e-05,0.28350785,0.30544564,0.051025745,2.3865938e-30,0.012824165,0.0064120824
8.954,18470.916,6.50189e-05,0.28358063,0.305281,0.050998244,2.2922967e-30,0.012824165,0.0064120824
8.956,18481.125,6.4948836e-05,0.28365344,0.30511647,0.05097076,4.8028857e-18,0.012824165,0.0064120824
8.958,18491.338,6.487884e-05,0.28372622,0.30495203,0.050943285,3.0217368e-31,0.012824165,0.0064120824
8.96,18501.553,6.480892e-05,0.28379902,0.30478767,0.05091583,1.1901921e-18,0.012824165,0.0064120824
8.962,18511.771,6.473908e-05,0.2838718,0.3046234,0.050888386,1.1465124e-30,0.012824165,0.0064120824
8.964,18521.994,6.466931e-05,0.28394458,0.30445918,0.050860956,4.1994185e-18,0.012824165,0.0064120824
8.966,18532.217,6.459961e-05,0.28401732,0.3042951,0.050833542,1.5053572e-30,0.012824165,0.0064120824
8.968,18542.443,6.452999e-05,0.2840901,0.30413106,0.050806142,4.5680756e-30,0.012824165,0.0064120824
8.97,18552.672,6.4460444e-05,0.28416288,0.30396715,0.050778758,2.1731023e-29,0.012824165,0.0064120824
8.972,18562.902,6.439097e-05,0.28423563,0.3038033,0.050751388,7.503908e-18,0.012824165,0.0064120824
8.974,18573.137,6.432157e-05,0.28430837,0.30363953,0.05072403,5.6909823e-30,0.012824165,0.0064120824
8.976,18583.373,6.425224e-05,0.28438112,0.30347586,0.050696686,1.3048582e-29,0.012824165,0.0064120824
8.978,18593.611,6.4183e-05,0.2844539,0.30331227,0.050669357,1.4590619e-17,0.012824165,0.0064120824
8.98,18603.854,6.411382e-05,0.28452662,0.30314878,0.050642043,4.8234022e-29,0.012824165,0.0064120824
8.982,18614.098,6.404471e-05,0.28459936,0.30298534,0.050614744,7.777499e-29,0.012824165,0.0064120824
8.984,18624.346,6.3975676e-05,0.2846721,0.30282202,0.05058746,5.1723968e-18,0.012824165,0.0064120824
8.986,18634.594,6.390672e-05,0.28474483,0.30265877,0.05056019,1.858495e-29,0.012824165,0.0064120824
8.988,18644.848,6.383784e-05,0.28481755,0.3024956,0.050532933,2.3377904e-17,0.012824165,0.0064120824
8.99,18655.102,6.3769025e-05,0.2848903,0.30233252,0.05050569,3.59628e-29,0.012824165,0.0064120824
8.992,18665.36,6.370029e-05,0.284963,0.30216953,0.050478462,2.8898814e-29,0.012824165,0.0064120824
8.994,18675.62,6.3631625e-05,0.28503573,0.30200663,0.05045125,1.4335899e-17,0.012824165,0.0064120824
8.996,18685.88,6.356303e-05,0.28510842,0.30184382,0.05042405,1.935318e-17,0.012824165,0.0064120824
8.998,18696.146,6.349451e-05,0.28518113,0.30168107,0.050396863,1.4153769e-30,0.012824165,0.0064120824
9.0,18706.414,6.3426065e-05,0.28525382,0.30151844,0.05036969,1.380689e-29,0.012824165,0.0064120824
9.002,18716.686,6.335769e-05,0.28532654,0.30135587,0.050342537,1.7241665e-17,0.012824165,0.0064120824
9.004,18726.959,6.3289386e-05,0.28539923,0.3011934,0.050315395,8.53701e-29,0.012824165,0.0064120824
9.006,18737.234,6.322116e-05,0.28547192,0.301031,0.050288264,1.2375575e-17,0.012824165,0.0064120824
9.008,18747.512,6.3153006e-05,0.2855446,0.3008687,0.05026115,9.426881e-18,0.012824165,0.0064120824
9.01,18757.793,6.308492e-05,0.2856173,0.30070648,0.05023405,9.685143e-29,0.012824165,0.0064120824
9.012,18768.076,6.301691e-05,0.28568998,0.30054432,0.050206963,2.743677e-29,0.012824165,0.0064120824
9.014,18778.363,6.2948966e-05,0.28576264,0.30038226,0.05017989,2.5122396e-30,0.012824165,0.0064120824
9.016,18788.652,6.28811e-05,0.2858353,0.3002203,0.050152835,5.8053886e-30,0.012824165,0.0064120824
9.018,18798.943,6.2813306e-05,0.28590798,0.30005842,0.050125793,1.9307196e-30,0.012824165,0.0064120824
9.02,18809.236,6.274558e-05,0.28598064,0.29989663,0.050098762,9.119076e-30,0.012824165,0.0064120824
9.022,18819.533,6.267793e-05,0.2860533,0.2997349,0.050071746,7.103087e-31,0.012824165,0.0064120824
9.024,18829.832,6.261035e-05,0.28612596,0.29957327,0.050044745,5.3529177e-30,0.012824165,0.0064120824
9.026,18840.135,6.2542844e-05,0.2861986,0.2994117,0.05001776,2.930595e-18,0.012824165,0.0064120824
9.028,18850.44,6.24754e-05,0.28627124,0.29925025,0.049990784,9.975746e-31,0.012824165,0.0064120824
9.03,18860.746,6.240804e-05,0.28634387,0.29908887,0.04996383,6.0610827e-19,0.012824165,0.0064120824
9.032,18871.057,6.2340834e-05,0.28641653,0.29892778,0.049936917,5.9951244e-19,0.012824165,0.0064120824
9.034,18881.37,6.2273735e-05,0.28648916,0.29876688,0.049910035,2.8302838e-31,0.012824165,0.0064120824
9.036,18891.684,6.22067e-05,0.2865618,0.29860604,0.04988317,6.8998257e-18,0.012824165,0.0064120824
9.038,18902.002,6.213974e-05,0.28663442,0.29844528,0.049856313,7.550006e-18,0.012824165,0.0064120824
9.04,18912.322,6.207285e-05,0.286707,0.29828462,0.04982947,1.1470234e-29,0.012824165,0.0064120824
9.042,18922.645,6.2006045e-05,0.28677964,0.29812405,0.049802646,8.981509e-18,0.012824165,0.0064120824
9.044,18932.97,6.1939296e-05,0.28685224,0.29796356,0.049775835,1.7569413e-29,0.012824165,0.0064120824
9.046,18943.299,6.1872626e-05,0.28692487,0.29780313,0.04974904,1.7239531e-17,0.012824165,0.0064120824
9.048,18953.63,6.180603e-05,0.28699747,0.29764283,0.049722258,8.394889e-18,0.012824165,0.0064120824
9.05,18963.963,6.1739505e-05,0.28707007,0.29748258,0.04969549,1.1869216e-17,0.012824165,0.0064120824
9.052,18974.3,6.167305e-05,0.28714266,0.29732245,0.049668737,2.6730912e-29,0.012824165,0.0064120824
9.054,18984.639,6.160666e-05,0.28721523,0.29716238,0.049642,1.013143e-17,0.012824165,0.0064120824
9.056,18994.98,6.154035e-05,0.28728783,0.2970024,0.049615275,2.284158e-28,0.012824165,0.0064120824
9.058,19005.324,6.147411e-05,0.2873604,0.29684252,0.049588565,3.299044e-29,0.012824165,0.0064120824
9.06,19015.67,6.140794e-05,0.287433,0.29668272,0.04956187,7.336752e-30,0.012824165,0.0064120824
9.062,19026.02,6.1341845e-05,0.28750557,0.296523,0.04953519,1.4715388e-17,0.012824165,0.0064120824
9.064,19036.371,6.1275816e-05,0.28757814,0.29636338,0.049508523,3.9665325e-29,0.012824165,0.0064120824
9.066,19046.727,6.120986e-05,0.2876507,0.29620385,0.049481872,9.218837e-30,0.012824165,0.0064120824
9.068,19057.082,6.1143975e-05,0.28772327,0.29604438,0.049455233,1.9098707e-29,0.012824165,0.0064120824
9.07,19067.441,6.1078164e-05,0.2877958,0.29588503,0.049428612,4.2368557e-29,0.012824165,0.0064120824
9.072,19077.805,6.101242e-05,0.28786838,0.29572573,0.049402002,5.28366e-29,0.012824165,0.0064120824
9.074,19088.17,6.0946746e-05,0.28794092,0.29556653,0.049375407,1.0807515e-28,0.012824165,0.0064120824
9.076,19098.537,6.0881146e-05,0.28801346,0.2954074,0.049348827,1.6024992e-17,0.012824165,0.0064120824
9.078,19108.906,6.0815615e-05,0.288086,0.2952484,0.049322262,1.4875343e-17,0.012824165,0.0064120824
