Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,iEEET2.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.354,34.403698,0.4,-2.948579e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.356,34.403698,0.4,-2.9330827e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.358,34.403698,0.4,-2.9175865e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.36,34.403698,0.4,-2.9020902e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.362,34.403698,0.4,-2.8865937e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.364,34.403698,0.4,-2.8710975e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.366,34.403698,0.4,-2.8556013e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.368,34.403698,0.4,-2.840105e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.37,34.403698,0.4,-2.824609e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.372,34.403698,0.4,-2.8091127e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.374,34.403698,0.4,-2.7936162e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.376,34.403698,0.4,-2.77812e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.378,34.403698,0.4,-2.7626237e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.38,34.403698,0.4,-2.7471275e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.382,34.403698,0.4,-2.7316313e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.384,34.403698,0.4,-2.716135e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.386,34.403698,0.4,-2.7006386e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.388,34.403698,0.4,-2.6851424e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.39,34.403698,0.4,-2.6696462e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.392,34.403698,0.4,-2.65415e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.394,34.403698,0.4,-2.6386537e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.396,34.403698,0.4,-2.6231575e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.398,34.403698,0.4,-2.607661e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.4,34.403698,0.4,-2.5921648e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.402,34.403698,0.4,-2.5766686e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.404,34.403698,0.4,-2.5611724e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.406,34.403698,0.4,-2.5456762e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.408,34.403698,0.4,-2.5301797e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.41,34.403698,0.4,-2.5146835e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.412,34.403698,0.4,-2.4991872e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.414,34.403698,0.4,-2.483691e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.416,34.403698,0.4,-2.4681948e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.418,34.403698,0.4,-2.4526986e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.42,34.403698,0.4,-2.437202e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.422,34.403698,0.4,-2.421706e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.424,34.403698,0.4,-2.4062097e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.426,34.403698,0.4,-2.3907135e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.428,34.403698,0.4,-2.3752172e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.43,34.403698,0.4,-2.359721e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.432,34.403698,0.4,-2.3442245e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.434,34.403698,0.4,-2.3287283e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.436,34.403698,0.4,-2.3132321e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.438,34.403698,0.4,-2.2977359e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.44,34.403698,0.4,-2.2822395e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.442,34.403698,0.4,-2.2667433e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.444,34.403698,0.4,-2.2512471e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.446,34.403698,0.4,-2.2357508e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.448,34.403698,0.4,-2.2202545e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.45,34.403698,0.4,-2.2047583e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.452,34.403698,0.4,-2.189262e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.454,34.403698,0.4,-2.1737658e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.456,34.403698,0.4,-2.1582695e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.458,34.403698,0.4,-2.1427732e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.46,34.403698,0.4,-2.127277e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.462,34.403698,0.4,-2.1117806e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.464,34.403698,0.4,-2.0962844e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.466,34.403698,0.4,-2.0807882e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.468,34.403698,0.4,-2.0652918e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.47,34.403698,0.4,-2.0497956e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.472,34.403698,0.4,-2.0342994e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.474,34.403698,0.4,-2.018803e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.476,34.403698,0.4,-2.0033068e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.478,34.403698,0.4,-1.9878106e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.48,34.403698,0.4,-1.9723143e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.482,34.403698,0.4,-1.956818e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.484,34.403698,0.4,-1.9413218e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.486,34.403698,0.4,-1.9258255e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.488,34.403698,0.4,-1.9103293e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.49,34.403698,0.4,-1.894833e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.492,34.403698,0.4,-1.8793367e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.494,34.403698,0.4,-1.8638405e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.496,34.403698,0.4,-1.8483443e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.498,34.403698,0.4,-1.8328479e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.5,34.403698,0.4,-1.8173517e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.502,34.403698,0.4,-1.8018555e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.504,34.403698,0.4,-1.7863591e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.506,34.403698,0.4,-1.7708629e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.508,34.403698,0.4,-1.7553665e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.51,34.403698,0.4,-1.7398703e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.512,34.403698,0.4,-1.7243741e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.514,34.403698,0.4,-1.7088778e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.516,34.403698,0.4,-1.6933815e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.518,34.403698,0.4,-1.6778853e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.52,34.403698,0.4,-1.662389e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.522,34.403698,0.4,-1.6468928e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.524,34.403698,0.4,-1.6313965e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.526,34.403698,0.4,-1.6240805e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.528,34.403698,0.4,-1.6181292e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.53,34.403698,0.4,-1.612178e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.532,34.403698,0.4,-1.6062268e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.534,34.403698,0.4,-1.6002756e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.536,34.403698,0.4,-1.5943244e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.538,34.403698,0.4,-1.588373e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.54,34.403698,0.4,-1.5824218e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.542,34.403698,0.4,-1.5764706e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.544,34.403698,0.4,-1.5705194e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.546,34.403698,0.4,-1.5645682e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.548,34.403698,0.4,-1.558617e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.55,34.403698,0.4,-1.5526658e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.552,34.403698,0.4,-1.5467146e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
