Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,sCRX.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.35,0.5992454,0.40000004,-1.7635615e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.352,0.5992454,0.40000004,-1.7719065e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.354,0.5992454,0.40000004,-1.7802289e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.356,0.5992454,0.40000004,-1.7885287e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.358,0.59924537,0.40000004,-1.7968057e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.36,0.59924537,0.40000004,-1.80506e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.362,0.59924537,0.40000004,-1.8132917e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.364,0.59924537,0.40000004,-1.8215008e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.366,0.59924537,0.40000004,-1.8296872e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.368,0.59924537,0.40000004,-1.8378509e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.37,0.59924537,0.40000004,-1.845992e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.372,0.59924537,0.40000004,-1.8541104e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.374,0.59924537,0.40000004,-1.8622062e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.376,0.59924537,0.40000004,-1.8702793e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.378,0.59924537,0.40000004,-1.8783295e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.38,0.59924537,0.40000004,-1.8863573e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.382,0.59924537,0.40000004,-1.8943624e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.384,0.59924537,0.40000004,-1.9023447e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.386,0.59924537,0.40000004,-1.9103046e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.388,0.59924537,0.40000004,-1.9182416e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.39,0.59924537,0.40000004,-1.9261561e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.392,0.59924537,0.40000004,-1.9340478e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.394,0.59924537,0.40000004,-1.9419168e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.396,0.59924537,0.40000004,-1.9497635e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.398,0.59924537,0.40000004,-1.9575872e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.4,0.59924537,0.40000004,-1.9653883e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.402,0.59924537,0.40000004,-1.9731667e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.404,0.59924537,0.40000004,-1.9809225e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.406,0.59924537,0.40000004,-1.9886557e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.408,0.59924537,0.40000004,-1.996366e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.41,0.59924537,0.40000004,-2.0040538e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.412,0.59924537,0.40000004,-2.011719e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.414,0.59924537,0.40000004,-2.0193613e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.416,0.59924537,0.40000004,-2.0269812e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.418,0.59924537,0.40000004,-2.0345783e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.42,0.59924537,0.40000004,-2.042153e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.422,0.59924537,0.40000004,-2.0497046e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.424,0.59924537,0.40000004,-2.0572337e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.426,0.59924537,0.40000004,-2.0647402e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.428,0.59924537,0.40000004,-2.072224e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.43,0.59924537,0.40000004,-2.079685e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.432,0.59924537,0.40000004,-2.0871236e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.434,0.59924537,0.40000004,-2.0945394e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.436,0.59924537,0.40000004,-2.1019326e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.438,0.59924537,0.40000004,-2.1093032e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.44,0.59924537,0.40000004,-2.116651e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
