Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eXAC1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.426,34.403694,0.40000004,-1.929022e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.428,34.403694,0.40000004,-1.9360202e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.43,34.403694,0.40000004,-1.9429973e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.432,34.403694,0.40000004,-1.9499533e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.434,34.403694,0.40000004,-1.9568882e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.436,34.403694,0.40000004,-1.9638022e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.438,34.403694,0.40000004,-1.970695e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.44,34.40369,0.40000004,-1.9775666e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.442,34.40369,0.40000004,-1.984417e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.444,34.40369,0.40000004,-1.9912463e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.446,34.40369,0.40000004,-1.9980546e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.448,34.40369,0.40000004,-2.0048418e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.45,34.40369,0.40000004,-2.011608e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.452,34.40369,0.40000004,-2.018353e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.454,34.40369,0.40000004,-2.0250768e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.456,34.40369,0.40000004,-2.0317796e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.458,34.40369,0.40000004,-2.0384612e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.46,34.40369,0.40000004,-2.0451218e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.462,34.40369,0.40000004,-2.0517612e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.464,34.40369,0.40000004,-2.0583797e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.466,34.40369,0.40000004,-2.0649769e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.468,34.40369,0.40000004,-2.071553e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.47,34.40369,0.40000004,-2.078108e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.472,34.40369,0.40000004,-2.084642e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.474,34.40369,0.40000004,-2.0911548e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.476,34.40369,0.40000004,-2.0976465e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.478,34.40369,0.40000004,-2.104117e-09,1.4314198,0.99999994,0.9919935,0.99999994,0.9959841
0.48,34.40369,0.40000004,-2.1105666e-09,1.4314198,0.99999994,0.9919935,0.99999994,0.9959841
0.482,34.40369,0.40000004,-2.116995e-09,1.4314198,0.99999994,0.9919935,0.99999994,0.9959841
0.484,34.40369,0.40000004,-2.1234021e-09,1.4314198,0.99999994,0.9919935,0.99999994,0.9959841
0.486,34.40369,0.40000004,-2.1297883e-09,1.4314198,0.99999994,0.9919935,0.99999994,0.9959841
0.488,34.40369,0.40000004,-2.1361535e-09,1.4314198,0.99999994,0.9919935,0.99999994,0.9959841
0.49,34.40369,0.40000004,-2.1424975e-09,1.4314198,0.99999994,0.9919935,0.99999994,0.9959841
0.492,34.40369,0.40000004,-2.1488202e-09,1.4314198,0.99999994,0.9919935,0.99999994,0.9959841
0.494,34.40369,0.40000004,-2.155122e-09,1.4314198,0.99999994,0.9919935,0.99999994,0.9959841
