Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,sEXS.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.428,0.59924537,0.40000004,-2.0693942e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.43,0.59924537,0.40000004,-2.0768156e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.432,0.59924537,0.40000004,-2.0842141e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.434,0.59924537,0.40000004,-2.0915896e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.436,0.59924537,0.40000004,-2.098942e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.438,0.59924537,0.40000004,-2.1062716e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.44,0.59924537,0.40000004,-2.1135782e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.442,0.59924537,0.40000004,-2.120862e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.444,0.59924537,0.40000004,-2.1281226e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.446,0.59924537,0.40000004,-2.1353603e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.448,0.59924537,0.40000004,-2.1425752e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.45,0.59924537,0.40000004,-2.1497673e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.452,0.59924537,0.40000004,-2.1569362e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.454,0.59924537,0.40000004,-2.1640822e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.456,0.59924537,0.40000004,-2.1712052e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.458,0.5992453,0.40000004,-2.1783053e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.46,0.5992453,0.40000004,-2.1853825e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.462,0.5992453,0.40000004,-2.192437e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.464,0.5992453,0.40000004,-2.1994682e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.466,0.5992453,0.40000004,-2.2064766e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.468,0.5992453,0.40000004,-2.2134619e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.47,0.5992453,0.40000004,-2.2204243e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.472,0.5992453,0.40000004,-2.2273638e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.474,0.5992453,0.40000004,-2.2342805e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.476,0.5992453,0.40000004,-2.2411741e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.478,0.5992453,0.40000004,-2.2480449e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.48,0.5992453,0.40000004,-2.2548925e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.482,0.5992453,0.40000004,-2.2617173e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.484,0.5992453,0.40000004,-2.2685192e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.486,0.5992453,0.40000004,-2.2752982e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.488,0.5992453,0.40000004,-2.282054e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.49,0.5992453,0.40000004,-2.2887872e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
