Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eSDC1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.322,0.6004578,0.40000004,-1.5335325e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.324,0.6004578,0.40000004,-1.5415617e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.326,0.6004578,0.40000004,-1.5495689e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.328,0.6004577,0.40000004,-1.5575542e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.33,0.6004577,0.40000004,-1.5655176e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.332,0.6004577,0.40000004,-1.573459e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.334,0.6004577,0.40000004,-1.5813785e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.336,0.6004577,0.40000004,-1.5892759e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.338,0.6004577,0.40000004,-1.5971515e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.34,0.6004577,0.40000004,-1.605005e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.342,0.6004577,0.40000004,-1.6128368e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.344,0.6004577,0.40000004,-1.6206464e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.346,0.6004577,0.40000004,-1.6284342e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.348,0.6004577,0.40000004,-1.6362e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.35,0.6004577,0.40000004,-1.6439438e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.352,0.6004577,0.40000004,-1.6516657e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.354,0.6004577,0.40000004,-1.6593656e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.356,0.6004577,0.40000004,-1.6670436e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.358,0.6004577,0.40000004,-1.6746997e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.36,0.6004577,0.40000004,-1.6823338e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.362,0.6004577,0.40000004,-1.689946e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.364,0.6004577,0.40000004,-1.6975361e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.366,0.6004577,0.40000004,-1.7051044e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.368,0.6004577,0.40000004,-1.7126507e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.37,0.6004577,0.40000004,-1.720175e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.372,0.6004577,0.40000004,-1.7276774e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.374,0.6004577,0.40000004,-1.7351578e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.376,0.6004577,0.40000004,-1.7426163e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.378,0.6004577,0.40000004,-1.7500529e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.38,0.6004577,0.40000004,-1.7574675e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.382,0.6004577,0.40000004,-1.7648601e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.384,0.6004577,0.40000004,-1.7722308e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.386,0.6004577,0.40000004,-1.7795796e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.388,0.6004577,0.40000004,-1.7869063e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.39,0.6004577,0.40000004,-1.7942112e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.392,0.6004577,0.40000004,-1.8014941e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.394,0.6004577,0.40000004,-1.808755e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.396,0.6004577,0.40000004,-1.815994e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.398,0.6004577,0.40000004,-1.823211e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.4,0.6004577,0.40000004,-1.8304062e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.402,0.6004577,0.40000004,-1.8375793e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.404,0.6004577,0.40000004,-1.8447305e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.406,0.6004577,0.40000004,-1.8518597e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.408,0.6004577,0.40000004,-1.858967e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.41,0.6004577,0.40000004,-1.8660524e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.412,0.6004577,0.40000004,-1.8731157e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.414,0.6004577,0.40000004,-1.8801571e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.416,0.6004577,0.40000004,-1.8871766e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.418,0.6004577,0.40000004,-1.8941742e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.42,0.6004577,0.40000004,-1.9011497e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.422,0.6004577,0.40000004,-1.9081035e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.424,0.6004577,0.40000004,-1.915035e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.426,0.6004577,0.40000004,-1.9219448e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.428,0.6004577,0.40000004,-1.9288326e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.43,0.6004577,0.40000004,-1.9356985e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.432,0.6004577,0.40000004,-1.9425423e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.434,0.6004577,0.40000004,-1.9493642e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.436,0.6004577,0.40000004,-1.9561643e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.438,0.6004577,0.40000004,-1.9629423e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.44,0.60045767,0.40000004,-1.9696984e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.442,0.60045767,0.40000004,-1.9764326e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.444,0.60045767,0.40000004,-1.9831448e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.446,0.60045767,0.40000004,-1.989835e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.448,0.60045767,0.40000004,-1.9965032e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.45,0.60045767,0.40000004,-2.0031496e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.452,0.60045767,0.40000004,-2.009774e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.454,0.60045767,0.40000004,-2.0163764e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.456,0.60045767,0.40000004,-2.022957e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.458,0.60045767,0.40000004,-2.0295154e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
