Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,eSAC2A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.294,28.845907,0.39999986,-1.3174638e-08,1.3274757,0.99999976,0.9919933,0.9999997,0.9959839
0.296,28.845907,0.39999986,-1.3237556e-08,1.3274758,0.99999976,0.9919933,0.9999997,0.9959839
0.298,28.845903,0.39999986,-1.33004745e-08,1.3274758,0.99999976,0.9919933,0.9999997,0.9959839
0.3,28.845903,0.39999986,-1.3363392e-08,1.3274758,0.99999976,0.9919933,0.9999997,0.9959839
0.302,28.845903,0.39999986,-1.3426311e-08,1.3274758,0.99999976,0.9919933,0.9999997,0.9959839
0.304,28.845903,0.39999986,-1.3489228e-08,1.3274758,0.99999976,0.9919933,0.9999997,0.9959839
0.306,28.845903,0.39999986,-1.3552147e-08,1.3274759,0.99999976,0.9919933,0.9999997,0.9959839
0.308,28.845901,0.39999986,-1.36150655e-08,1.3274759,0.99999976,0.9919933,0.9999997,0.9959839
0.31,28.845901,0.39999986,-1.3677983e-08,1.3274759,0.99999976,0.9919933,0.9999997,0.9959839
0.312,28.845901,0.39999986,-1.3740902e-08,1.3274759,0.99999976,0.9919933,0.9999997,0.9959839
0.314,28.845901,0.39999986,-1.3803819e-08,1.3274759,0.99999976,0.9919933,0.99999976,0.9959839
0.316,28.845901,0.39999986,-1.3866738e-08,1.327476,0.99999976,0.9919933,0.99999976,0.9959839
0.318,28.845898,0.39999986,-1.3929656e-08,1.327476,0.99999976,0.9919933,0.99999976,0.9959839
0.32,28.845898,0.39999986,-1.3992574e-08,1.327476,0.99999976,0.9919933,0.99999976,0.9959839
0.322,28.845898,0.39999986,-1.4055493e-08,1.327476,0.99999976,0.9919933,0.99999976,0.9959839
0.324,28.845898,0.39999986,-1.411841e-08,1.327476,0.99999976,0.9919933,0.99999976,0.9959839
0.326,28.845894,0.39999986,-1.4181329e-08,1.327476,0.99999976,0.9919933,0.99999976,0.9959839
0.328,28.845894,0.39999986,-1.4244247e-08,1.3274761,0.99999976,0.9919933,0.99999976,0.9959839
0.33,28.845894,0.39999986,-1.4307165e-08,1.3274761,0.99999976,0.9919933,0.99999976,0.9959839
0.332,28.845894,0.39999986,-1.4370083e-08,1.3274761,0.99999976,0.9919933,0.99999976,0.9959839
0.334,28.845894,0.39999986,-1.44330015e-08,1.3274761,0.99999976,0.9919933,0.99999976,0.9959839
0.336,28.84589,0.39999986,-1.449592e-08,1.3274761,0.99999976,0.9919933,0.99999976,0.9959839
0.338,28.84589,0.39999986,-1.4558838e-08,1.3274763,0.99999976,0.9919933,0.99999976,0.9959839
0.34,28.84589,0.39999986,-1.4621756e-08,1.3274763,0.99999976,0.9919933,0.99999976,0.9959839
0.342,28.84589,0.39999986,-1.4684674e-08,1.3274763,0.99999976,0.9919933,0.99999976,0.9959839
0.344,28.845886,0.39999986,-1.47475925e-08,1.3274763,0.99999976,0.9919933,0.99999976,0.9959839
0.346,28.845886,0.39999986,-1.481051e-08,1.3274763,0.99999976,0.9919933,0.99999976,0.9959839
0.348,28.845886,0.39999986,-1.4873429e-08,1.3274764,0.99999976,0.9919933,0.99999976,0.9959839
0.35,28.845886,0.39999986,-1.4936347e-08,1.3274764,0.99999976,0.9919933,0.99999976,0.9959839
0.352,28.845886,0.39999986,-1.4999266e-08,1.3274764,0.99999976,0.9919933,0.99999976,0.9959839
0.354,28.845884,0.39999986,-1.5062183e-08,1.3274764,0.99999976,0.9919933,0.99999976,0.9959839
0.356,28.845884,0.39999986,-1.5125101e-08,1.3274764,0.99999976,0.9919933,0.99999976,0.9959839
0.358,28.845884,0.39999986,-1.518802e-08,1.3274765,0.99999976,0.9919933,0.99999976,0.9959839
0.36,28.845884,0.39999986,-1.5250938e-08,1.3274765,0.99999976,0.9919933,0.99999976,0.9959839
0.362,28.845884,0.39999986,-1.5313855e-08,1.3274765,0.99999976,0.9919933,0.99999976,0.99598396
0.364,28.84588,0.39999986,-1.5376774e-08,1.3274765,0.9999998,0.9919933,0.99999976,0.99598396
0.366,28.84588,0.39999986,-1.5439692e-08,1.3274765,0.9999998,0.9919933,0.99999976,0.99598396
0.368,28.84588,0.39999986,-1.550261e-08,1.3274766,0.9999998,0.9919933,0.99999976,0.99598396
0.37,28.84588,0.39999983,-1.556553e-08,1.3274766,0.9999998,0.9919933,0.99999976,0.99598396
0.372,28.845877,0.39999983,-1.5628446e-08,1.3274766,0.9999998,0.9919933,0.99999976,0.99598396
0.374,28.845877,0.39999983,-1.5691365e-08,1.3274766,0.9999998,0.9919933,0.99999976,0.99598396
0.376,28.845877,0.39999983,-1.5754283e-08,1.3274766,0.9999998,0.9919933,0.99999976,0.99598396
0.378,28.845877,0.39999983,-1.5817202e-08,1.3274766,0.9999998,0.9919933,0.99999976,0.99598396
0.38,28.845877,0.39999983,-1.588012e-08,1.3274767,0.9999998,0.9919933,0.99999976,0.99598396
0.382,28.845873,0.39999983,-1.5943037e-08,1.3274767,0.9999998,0.9919933,0.99999976,0.99598396
0.384,28.845873,0.39999983,-1.6005956e-08,1.3274767,0.9999998,0.9919933,0.99999976,0.99598396
0.386,28.845873,0.39999983,-1.6068874e-08,1.3274767,0.9999998,0.9919933,0.99999976,0.99598396
0.388,28.845873,0.39999983,-1.6131793e-08,1.3274767,0.9999998,0.9919933,0.99999976,0.99598396
0.39,28.845873,0.39999983,-1.619471e-08,1.3274769,0.9999998,0.9919933,0.99999976,0.99598396
0.392,28.84587,0.39999983,-1.6257628e-08,1.3274769,0.9999998,0.9919933,0.99999976,0.99598396
0.394,28.84587,0.39999983,-1.6320547e-08,1.3274769,0.9999998,0.9919933,0.99999976,0.99598396
0.396,28.84587,0.39999983,-1.6383465e-08,1.3274769,0.9999998,0.9919933,0.99999976,0.99598396
0.398,28.84587,0.39999983,-1.6446384e-08,1.3274769,0.9999998,0.9919933,0.99999976,0.99598396
0.4,28.845867,0.39999983,-1.65093e-08,1.327477,0.9999998,0.9919933,0.99999976,0.99598396
0.402,28.845867,0.39999983,-1.657222e-08,1.327477,0.9999998,0.9919933,0.99999976,0.99598396
0.404,28.845867,0.39999983,-1.6635138e-08,1.327477,0.9999998,0.9919933,0.99999976,0.99598396
0.406,28.845867,0.39999983,-1.6698056e-08,1.327477,0.9999998,0.9919933,0.99999976,0.99598396
0.408,28.845867,0.39999983,-1.6760973e-08,1.327477,0.9999998,0.9919933,0.99999976,0.99598396
0.41,28.845863,0.39999983,-1.6823892e-08,1.3274771,0.9999998,0.9919933,0.99999976,0.99598396
0.412,28.845863,0.39999983,-1.688681e-08,1.3274771,0.9999998,0.9919933,0.99999976,0.99598396
0.414,28.845863,0.39999983,-1.6949729e-08,1.3274771,0.9999998,0.9919933,0.99999976,0.99598396
0.416,28.845863,0.39999983,-1.7012647e-08,1.3274771,0.9999998,0.9919933,0.99999976,0.99598396
0.418,28.845863,0.39999983,-1.7075564e-08,1.3274771,0.9999998,0.9919933,0.99999976,0.99598396
0.42,28.84586,0.39999983,-1.7138483e-08,1.3274772,0.9999998,0.9919933,0.99999976,0.99598396
0.422,28.84586,0.39999983,-1.7201401e-08,1.3274772,0.9999998,0.9919933,0.99999976,0.99598396
0.424,28.84586,0.39999983,-1.726432e-08,1.3274772,0.9999998,0.9919933,0.99999976,0.99598396
0.426,28.84586,0.39999983,-1.7327238e-08,1.3274772,0.9999998,0.9919933,0.99999976,0.99598396
0.428,28.845856,0.39999983,-1.7390155e-08,1.3274772,0.9999998,0.9919933,0.99999976,0.99598396
0.43,28.845856,0.39999983,-1.7453074e-08,1.3274772,0.9999998,0.9919933,0.99999976,0.99598396
0.432,28.845856,0.39999983,-1.7515992e-08,1.3274773,0.9999998,0.9919933,0.99999976,0.99598396
0.434,28.845856,0.39999983,-1.757891e-08,1.3274773,0.9999998,0.9919933,0.99999976,0.99598396
0.436,28.845856,0.39999983,-1.7641828e-08,1.3274773,0.9999998,0.9919933,0.99999976,0.99598396
0.438,28.845854,0.39999983,-1.7704746e-08,1.3274773,0.9999998,0.9919933,0.99999976,0.99598396
0.44,28.845854,0.39999983,-1.7767665e-08,1.3274773,0.9999998,0.9919933,0.99999976,0.99598396
0.442,28.845854,0.39999983,-1.7830583e-08,1.3274775,0.9999998,0.9919933,0.99999976,0.99598396
0.444,28.845854,0.39999983,-1.7893502e-08,1.3274775,0.9999998,0.9919933,0.99999976,0.99598396
0.446,28.845854,0.39999983,-1.7956419e-08,1.3274775,0.9999998,0.9919933,0.99999976,0.99598396
0.448,28.84585,0.39999983,-1.8019337e-08,1.3274775,0.9999998,0.9919933,0.99999976,0.99598396
0.45,28.84585,0.39999983,-1.8082256e-08,1.3274775,0.9999998,0.9919933,0.99999976,0.99598396
0.452,28.84585,0.39999983,-1.8145174e-08,1.3274776,0.9999998,0.9919933,0.99999976,0.99598396
0.454,28.84585,0.39999983,-1.8208093e-08,1.3274776,0.9999998,0.9919933,0.99999976,0.99598396
0.456,28.845846,0.39999983,-1.827101e-08,1.3274776,0.9999998,0.9919933,0.99999976,0.99598396
0.458,28.845846,0.3999998,-1.8333928e-08,1.3274776,0.9999998,0.9919933,0.99999976,0.99598396
0.46,28.845846,0.3999998,-1.8396847e-08,1.3274776,0.9999998,0.9919933,0.99999976,0.99598396
0.462,28.845846,0.3999998,-1.8459765e-08,1.3274777,0.9999998,0.9919933,0.99999976,0.99598396
0.464,28.845846,0.3999998,-1.8522682e-08,1.3274777,0.9999998,0.9919933,0.99999976,0.99598396
0.466,28.845842,0.3999998,-1.85856e-08,1.3274777,0.9999998,0.9919933,0.99999976,0.99598396
0.468,28.845842,0.3999998,-1.864852e-08,1.3274777,0.9999998,0.9919933,0.99999976,0.99598396
0.47,28.845842,0.3999998,-1.8711438e-08,1.3274777,0.9999998,0.9919933,0.99999976,0.99598396
0.472,28.845842,0.3999998,-1.8774356e-08,1.3274778,0.9999998,0.9919933,0.99999976,0.99598396
0.474,28.845842,0.3999998,-1.8837273e-08,1.3274778,0.9999998,0.9919933,0.99999976,0.99598396
0.476,28.845839,0.3999998,-1.8900192e-08,1.3274778,0.9999998,0.9919933,0.99999976,0.99598396
0.478,28.845839,0.3999998,-1.896311e-08,1.3274778,0.9999998,0.9919933,0.99999976,0.99598396
0.48,28.845839,0.3999998,-1.9026029e-08,1.3274778,0.9999998,0.9919933,0.99999976,0.99598396
0.482,28.845839,0.3999998,-1.9088947e-08,1.3274778,0.9999998,0.9919933,0.99999976,0.99598396
0.484,28.845837,0.3999998,-1.9151864e-08,1.3274779,0.9999998,0.9919933,0.99999976,0.99598396
0.486,28.845837,0.3999998,-1.9214783e-08,1.3274779,0.9999998,0.9919933,0.99999976,0.99598396
0.488,28.845837,0.3999998,-1.9277701e-08,1.3274779,0.9999998,0.9919933,0.99999976,0.99598396
0.49,28.845837,0.3999998,-1.934062e-08,1.3274779,0.9999998,0.9919933,0.99999976,0.99598396
0.492,28.845837,0.3999998,-1.9403537e-08,1.3274779,0.9999998,0.9919933,0.99999976,0.99598396
0.494,28.845833,0.3999998,-1.9466455e-08,1.327478,0.9999998,0.99199337,0.99999976,0.99598396
0.496,28.845833,0.3999998,-1.9529374e-08,1.327478,0.9999998,0.99199337,0.99999976,0.99598396
