Time,gENSAL.delta,gENSAL.PELEC,gENSAL.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
5.504,4902.9683,0.0005911757,0.15131208,0.15377782,5.8359943e-30,0.012824165,0.0064120824
5.506,4908.417,0.0005909891,0.15139312,0.15375355,1.7741256e-17,0.012824165,0.0064120824
5.508,4913.8687,0.00059080275,0.15147415,0.1537293,1.2485487e-17,0.012824165,0.0064120824
5.51,4919.323,0.00059061666,0.15155517,0.1537051,2.7080898e-29,0.012824165,0.0064120824
5.512,4924.781,0.00059043086,0.15163618,0.15368092,1.0650992e-29,0.012824165,0.0064120824
5.514,4930.2407,0.00059024536,0.1517172,0.15365678,1.574702e-17,0.012824165,0.0064120824
5.516,4935.704,0.00059006014,0.1517982,0.15363266,1.5659015e-17,0.012824165,0.0064120824
5.518,4941.1704,0.00058987516,0.1518792,0.15360858,2.984292e-29,0.012824165,0.0064120824
5.52,4946.6396,0.0005896904,0.1519602,0.15358452,2.2781876e-28,0.012824165,0.0064120824
5.522,4952.1113,0.00058950594,0.1520412,0.1535605,4.574775e-17,0.012824165,0.0064120824
5.524,4957.586,0.0005893218,0.15212217,0.15353651,1.2696873e-28,0.012824165,0.0064120824
5.526,4963.0645,0.0005891379,0.15220316,0.15351255,9.670183e-18,0.012824165,0.0064120824
5.528,4968.545,0.00058895425,0.15228412,0.15348862,5.449287e-29,0.012824165,0.0064120824
5.53,4974.0283,0.0005887709,0.15236509,0.15346473,1.5823492e-17,0.012824165,0.0064120824
5.532,4979.515,0.0005885878,0.15244605,0.15344086,1.3257983e-28,0.012824165,0.0064120824
5.534,4985.005,0.00058840495,0.152527,0.15341704,3.6352573e-17,0.012824165,0.0064120824
5.536,4990.497,0.00058822235,0.15260795,0.15339322,1.7347679e-28,0.012824165,0.0064120824
5.538,4995.992,0.00058804004,0.15268889,0.15336946,4.8038525e-29,0.012824165,0.0064120824
5.54,5001.49,0.000587858,0.15276983,0.15334572,9.899661e-18,0.012824165,0.0064120824
5.542,5006.9917,0.00058767624,0.15285076,0.153322,8.693297e-18,0.012824165,0.0064120824
5.544,5012.4956,0.0005874947,0.15293169,0.15329832,9.151183e-18,0.012824165,0.0064120824
5.546,5018.0024,0.0005873135,0.15301262,0.15327467,8.96085e-29,0.012824165,0.0064120824
5.548,5023.5127,0.00058713247,0.15309353,0.15325105,1.1234478e-28,0.012824165,0.0064120824
5.55,5029.0254,0.0005869518,0.15317445,0.15322746,6.191691e-17,0.012824165,0.0064120824
5.552,5034.541,0.0005867713,0.15325534,0.15320392,2.9309127e-29,0.012824165,0.0064120824
5.554,5040.0596,0.00058659114,0.15333624,0.15318039,5.2672254e-17,0.012824165,0.0064120824
5.556,5045.581,0.00058641116,0.15341714,0.15315689,8.810674e-18,0.012824165,0.0064120824
