Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.404,34.403694,0.40000004,-1.8406255e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.406,34.403694,0.40000004,-1.8476758e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.408,34.403694,0.40000004,-1.8547034e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.41,34.403694,0.40000004,-1.8617083e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.412,34.403694,0.40000004,-1.8686905e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.414,34.403694,0.40000004,-1.8756503e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.416,34.403694,0.40000004,-1.8825872e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.418,34.403694,0.40000004,-1.8895014e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.42,34.403694,0.40000004,-1.896393e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.422,34.403694,0.40000004,-1.903262e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.424,34.403694,0.40000004,-1.9101083e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.426,34.403694,0.40000004,-1.916932e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.428,34.403694,0.40000004,-1.923733e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.43,34.403694,0.40000004,-1.9305113e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.432,34.403694,0.40000004,-1.9372668e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.434,34.403694,0.40000004,-1.9439998e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.436,34.403694,0.40000004,-1.9507103e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.438,34.403694,0.40000004,-1.9573978e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.44,34.403694,0.40000004,-1.964063e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.442,34.40369,0.40000004,-1.9707052e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.444,34.40369,0.40000004,-1.9773247e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.446,34.40369,0.40000004,-1.983922e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.448,34.40369,0.40000004,-1.9904962e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.45,34.40369,0.40000004,-1.9970479e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.452,34.40369,0.40000004,-2.0035769e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.454,34.40369,0.40000004,-2.0100832e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.456,34.40369,0.40000004,-2.016567e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.458,34.40369,0.40000004,-2.023028e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.46,34.40369,0.40000004,-2.0294664e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.462,34.40369,0.40000004,-2.0358821e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.464,34.40369,0.40000004,-2.0422752e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.466,34.40369,0.40000004,-2.0486455e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.468,34.40369,0.40000004,-2.0549933e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.47,34.40369,0.40000004,-2.0613182e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.472,34.40369,0.40000004,-2.0676207e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.474,34.40369,0.40000004,-2.0739004e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.476,34.40369,0.40000004,-2.0801576e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.478,34.40369,0.40000004,-2.086392e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.48,34.40369,0.40000004,-2.0926036e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.482,34.40369,0.40000004,-2.0987927e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.484,34.40369,0.40000004,-2.1049593e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.486,34.40369,0.40000004,-2.111103e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.488,34.40369,0.40000004,-2.1172242e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.49,34.40369,0.40000004,-2.1233224e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.492,34.40369,0.40000004,-2.1293982e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.494,34.40369,0.40000004,-2.1354514e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.496,34.40369,0.40000004,-2.1414819e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.498,34.40369,0.40000004,-2.1474897e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.5,34.40369,0.40000004,-2.1534747e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.502,34.40369,0.40000004,-2.1594373e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.504,34.40369,0.40000004,-2.165377e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.506,34.40369,0.40000004,-2.1712943e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.508,34.40369,0.40000004,-2.1771887e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.51,34.40369,0.40000004,-2.1830604e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.512,34.40369,0.40000004,-2.1889097e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.514,34.40369,0.40000004,-2.1947362e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.516,34.40369,0.40000004,-2.20054e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.518,34.40369,0.40000004,-2.2063211e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.52,34.40369,0.40000004,-2.2120796e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.522,34.40369,0.40000004,-2.2178155e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.524,34.40369,0.40000004,-2.2235287e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.526,34.40369,0.40000004,-2.228867e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.528,34.40369,0.40000004,-2.2341184e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.53,34.40369,0.40000004,-2.239341e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.532,34.40369,0.40000004,-2.2445346e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.534,34.40369,0.40000004,-2.249699e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.536,34.403687,0.40000004,-2.254835e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.538,34.403687,0.40000004,-2.2599418e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.54,34.403687,0.40000004,-2.26502e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.542,34.403687,0.40000004,-2.270069e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.544,34.403687,0.40000004,-2.2750892e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.546,34.403687,0.40000004,-2.2800806e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.548,34.403687,0.40000004,-2.285043e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.55,34.403687,0.40000004,-2.2899767e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.552,34.403687,0.40000004,-2.2948812e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.554,34.403687,0.40000004,-2.299757e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.556,34.403687,0.40000004,-2.304604e-09,0.99999994,0.9919935,0.99999994,0.9959841
