Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,pSS2B.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.376,34.403694,0.40000004,-1.5232445e-09,-1.8827782e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.378,34.403694,0.40000004,-1.5284264e-09,-1.8785366e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.38,34.403694,0.40000004,-1.5336081e-09,-1.874295e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.382,34.40369,0.40000004,-1.5387899e-09,-1.8700534e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.384,34.40369,0.40000004,-1.5439716e-09,-1.8658119e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.386,34.40369,0.40000004,-1.5491535e-09,-1.8615703e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.388,34.40369,0.40000004,-1.5543352e-09,-1.8573287e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.39,34.40369,0.40000004,-1.559517e-09,-1.8530871e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.392,34.40369,0.40000004,-1.5646988e-09,-1.8488455e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.394,34.40369,0.40000004,-1.5698806e-09,-1.8446041e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.396,34.40369,0.40000004,-1.5750623e-09,-1.8403625e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.398,34.40369,0.40000004,-1.5802442e-09,-1.836121e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.4,34.40369,0.40000004,-1.5854259e-09,-1.8318794e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.402,34.40369,0.40000004,-1.5906076e-09,-1.8276378e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.404,34.40369,0.40000004,-1.5957894e-09,-1.8233962e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.406,34.40369,0.40000004,-1.6009712e-09,-1.8191546e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.408,34.40369,0.40000004,-1.606153e-09,-1.814913e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.41,34.40369,0.40000004,-1.6113347e-09,-1.8106714e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.412,34.40369,0.40000004,-1.6165166e-09,-1.8064299e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.414,34.40369,0.40000004,-1.6216983e-09,-1.8021883e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.416,34.40369,0.40000004,-1.6268801e-09,-1.7979467e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.418,34.40369,0.40000004,-1.6320619e-09,-1.7937051e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.42,34.40369,0.40000004,-1.6372437e-09,-1.7894635e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.422,34.40369,0.40000004,-1.6424254e-09,-1.785222e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.424,34.40369,0.40000004,-1.6476072e-09,-1.7809803e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.426,34.40369,0.40000004,-1.652789e-09,-1.7767388e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.428,34.40369,0.40000004,-1.6579708e-09,-1.7724972e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.43,34.40369,0.40000004,-1.6631525e-09,-1.7682556e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.432,34.40369,0.40000004,-1.6683344e-09,-1.764014e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.434,34.40369,0.40000004,-1.6735161e-09,-1.7597724e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.436,34.40369,0.40000004,-1.6786978e-09,-1.7555308e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.438,34.40369,0.40000004,-1.6838797e-09,-1.7512892e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.44,34.40369,0.40000004,-1.6890614e-09,-1.7470477e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.442,34.40369,0.40000004,-1.6942432e-09,-1.742806e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.444,34.40369,0.40000004,-1.6994249e-09,-1.7385645e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.446,34.40369,0.40000004,-1.7046068e-09,-1.7343229e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.448,34.40369,0.40000004,-1.7097885e-09,-1.7300813e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.45,34.40369,0.40000004,-1.7149703e-09,-1.7258397e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.452,34.40369,0.40000004,-1.7201521e-09,-1.7215982e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.454,34.40369,0.40000004,-1.7253339e-09,-1.7173566e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.456,34.40369,0.40000004,-1.7305156e-09,-1.713115e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.458,34.40369,0.40000004,-1.7356975e-09,-1.7088734e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.46,34.40369,0.40000004,-1.7408792e-09,-1.7046318e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.462,34.40369,0.40000004,-1.746061e-09,-1.7003902e-08,0.99999994,0.9919935,0.99999994,0.9959841
