Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,pSS2A.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
2.442,1.9551767,0.0017350931,0.019817615,0.1,0.26344916,7.9420486e-20,0.012824165,0.0064120824
2.444,1.9676572,0.0017309699,0.019908847,0.1,0.26313594,9.2320505e-32,0.012824165,0.0064120824
2.446,1.9801949,0.0017268594,0.020000072,0.1,0.2628233,2.037987e-19,0.012824165,0.0064120824
2.448,1.99279,0.0017227613,0.020091292,0.1,0.26251128,9.005934e-20,0.012824165,0.0064120824
2.45,2.0054424,0.0017186758,0.020182502,0.1,0.26219985,3.426313e-32,0.012824165,0.0064120824
2.452,2.018152,0.001714603,0.020273706,0.1,0.26188898,1.0935506e-20,0.012824165,0.0064120824
2.454,2.030919,0.0017105428,0.020364903,0.1,0.2615787,7.8455655e-32,0.012824165,0.0064120824
2.456,2.0437434,0.0017064953,0.020456092,0.1,0.26126906,4.792446e-32,0.012824165,0.0064120824
2.458,2.056625,0.0017024603,0.020547275,0.1,0.26095998,9.3608547e-20,0.012824165,0.0064120824
2.46,2.0695639,0.0016984382,0.02063845,0.1,0.26065153,2.946673e-32,0.012824165,0.0064120824
2.462,2.08256,0.0016944289,0.020729616,0.1,0.2603437,3.3366075e-32,0.012824165,0.0064120824
2.464,2.0956135,0.0016904323,0.020820776,0.1,0.2600365,2.0678895e-20,0.012824165,0.0064120824
2.466,2.108724,0.0016864486,0.02091193,0.1,0.25972992,1.3794445e-32,0.012824165,0.0064120824
2.468,2.1218922,0.0016824764,0.021003075,0.1,0.25942385,4.658209e-21,0.012824165,0.0064120824
2.47,2.1351175,0.0016785079,0.021094214,0.1,0.25911772,5.1555754e-32,0.012824165,0.0064120824
2.472,2.1483998,0.0016745507,0.021185346,0.1,0.2588121,6.758597e-32,0.012824165,0.0064120824
2.474,2.1617398,0.0016706047,0.02127647,0.1,0.25850698,8.8737694e-20,0.012824165,0.0064120824
2.476,2.1751368,0.0016666697,0.021367587,0.1,0.25820234,1.268524e-31,0.012824165,0.0064120824
2.478,2.188591,0.0016627458,0.021458697,0.1,0.25789824,4.1561874e-32,0.012824165,0.0064120824
2.48,2.2021024,0.001658833,0.021549799,0.1,0.25759462,2.4029203e-32,0.012824165,0.0064120824
2.482,2.2156713,0.0016549311,0.021640895,0.1,0.25729147,3.1172168e-31,0.012824165,0.0064120824
2.484,2.2292974,0.0016510402,0.021731982,0.1,0.25698882,1.6044947e-31,0.012824165,0.0064120824
2.486,2.2429805,0.00164716,0.021823063,0.1,0.25668666,3.77973e-32,0.012824165,0.0064120824
2.488,2.256721,0.0016432906,0.021914136,0.1,0.256385,1.4885856e-19,0.012824165,0.0064120824
2.49,2.2705185,0.0016394322,0.022005202,0.1,0.25608382,3.913345e-32,0.012824165,0.0064120824
2.492,2.2843735,0.0016355843,0.022096261,0.1,0.25578314,2.471624e-31,0.012824165,0.0064120824
2.494,2.2982857,0.0016317472,0.022187313,0.1,0.2554829,9.885882e-32,0.012824165,0.0064120824
2.496,2.312255,0.0016279208,0.022278357,0.1,0.2551832,5.7544693e-20,0.012824165,0.0064120824
2.498,2.3262813,0.0016241049,0.022369394,0.1,0.25488394,1.2206234e-32,0.012824165,0.0064120824
2.5,2.3403652,0.0016202996,0.022460425,0.1,0.25458518,3.0784594e-31,0.012824165,0.0064120824
2.502,2.354506,0.001616505,0.022551447,0.1,0.2542869,9.390286e-31,0.012824165,0.0064120824
2.504,2.368704,0.0016127208,0.022642463,0.1,0.25398907,1.4914093e-31,0.012824165,0.0064120824
2.506,2.3829594,0.0016089471,0.02273347,0.1,0.25369173,6.089865e-20,0.012824165,0.0064120824
2.508,2.3972719,0.0016051838,0.022824472,0.1,0.25339487,2.4411084e-32,0.012824165,0.0064120824
2.51,2.4116414,0.0016014305,0.022915466,0.1,0.25309843,4.95993e-32,0.012824165,0.0064120824
