Time(s) " gENSAL.delta" " gENSAL.PELEC" " gENSAL.PMECH" " gENSAL.SPEED" " GEN1.V" " LOAD.V" " GEN2.V" " FAULT.V"
0.66 " 36.6408" " 0.4" " 0.4" " 9.36544e-09" " 1" " 0.991994" " 1" " 0.995984"
0.665 " 36.6408" " 0.4" " 0.4" " 9.43507e-09" " 1" " 0.991994" " 1" " 0.995984"
0.67 " 36.6408" " 0.4" " 0.4" " 9.5047e-09" " 1" " 0.991994" " 1" " 0.995984"
0.675 " 36.6408" " 0.4" " 0.4" " 9.57433e-09" " 1" " 0.991994" " 1" " 0.995984"
0.68 " 36.6408" " 0.4" " 0.4" " 9.64396e-09" " 1" " 0.991994" " 1" " 0.995984"
0.685 " 36.6408" " 0.4" " 0.4" " 9.71359e-09" " 1" " 0.991994" " 1" " 0.995984"
0.69 " 36.6408" " 0.4" " 0.4" " 9.78322e-09" " 1" " 0.991994" " 1" " 0.995984"
0.695 " 36.6408" " 0.4" " 0.4" " 9.85286e-09" " 1" " 0.991994" " 1" " 0.995984"
0.7 " 36.6408" " 0.4" " 0.4" " 9.92249e-09" " 1" " 0.991994" " 1" " 0.995984"
0.705 " 36.6408" " 0.4" " 0.4" " 9.99212e-09" " 1" " 0.991994" " 1" " 0.995984"
0.71 " 36.6408" " 0.4" " 0.4" " 1.00618e-08" " 1" " 0.991994" " 1" " 0.995984"
0.714999 " 36.6408" " 0.4" " 0.4" " 1.01314e-08" " 1" " 0.991994" " 1" " 0.995984"
0.719999 " 36.6408" " 0.4" " 0.4" " 1.0201e-08" " 1" " 0.991994" " 1" " 0.995984"
0.724999 " 36.6408" " 0.4" " 0.4" " 1.02706e-08" " 1" " 0.991994" " 1" " 0.995984"
0.729999 " 36.6408" " 0.4" " 0.4" " 1.03403e-08" " 1" " 0.991994" " 1" " 0.995984"
0.734999 " 36.6408" " 0.4" " 0.4" " 1.04099e-08" " 1" " 0.991994" " 1" " 0.995984"
0.739999 " 36.6408" " 0.4" " 0.4" " 1.04795e-08" " 1" " 0.991994" " 1" " 0.995984"
