Time(s) " gENROE.delta" " gENROE.PELEC" " gENROE.PMECH" " gENROE.SPEED" " GEN1.V" " LOAD.V" " GEN2.V" " FAULT.V"
0.934999 " 34.4037" " 0.4" " 0.4" " 3.29879e-09" " 1" " 0.991993" " 1" " 0.995984"
0.939999 " 34.4037" " 0.4" " 0.4" " 3.3162e-09" " 1" " 0.991993" " 1" " 0.995984"
0.944999 " 34.4037" " 0.4" " 0.4" " 3.33361e-09" " 1" " 0.991993" " 1" " 0.995984"
0.949999 " 34.4037" " 0.4" " 0.4" " 3.35101e-09" " 1" " 0.991993" " 1" " 0.995984"
0.954999 " 34.4037" " 0.4" " 0.4" " 3.36842e-09" " 1" " 0.991993" " 1" " 0.995984"
0.959999 " 34.4037" " 0.4" " 0.4" " 3.38583e-09" " 1" " 0.991993" " 1" " 0.995984"
0.964999 " 34.4037" " 0.4" " 0.4" " 3.40324e-09" " 1" " 0.991993" " 1" " 0.995984"
0.969999 " 34.4037" " 0.4" " 0.4" " 3.42065e-09" " 1" " 0.991993" " 1" " 0.995984"
0.974999 " 34.4037" " 0.4" " 0.4" " 3.43805e-09" " 1" " 0.991993" " 1" " 0.995984"
0.979999 " 34.4037" " 0.4" " 0.4" " 3.45546e-09" " 1" " 0.991993" " 1" " 0.995984"
0.984999 " 34.4037" " 0.4" " 0.4" " 3.47287e-09" " 1" " 0.991993" " 1" " 0.995984"
0.989999 " 34.4037" " 0.4" " 0.4" " 3.49028e-09" " 1" " 0.991993" " 1" " 0.995984"
0.994999 " 34.4037" " 0.4" " 0.4" " 3.50769e-09" " 1" " 0.991993" " 1" " 0.995984"
0.999999 " 34.4037" " 0.4" " 0.4" " 3.52509e-09" " 1" " 0.991993" " 1" " 0.995984"
1.005 " 34.4037" " 0.4" " 0.4" " 3.5425e-09" " 1" " 0.991993" " 1" " 0.995984"
1.01 " 34.4037" " 0.4" " 0.4" " 3.55991e-09" " 1" " 0.991993" " 1" " 0.995984"
1.015 " 34.4037" " 0.4" " 0.4" " 3.57732e-09" " 1" " 0.991993" " 1" " 0.995984"
1.02 " 34.4037" " 0.4" " 0.4" " 3.59472e-09" " 1" " 0.991993" " 1" " 0.995984"
1.025 " 34.4037" " 0.4" " 0.4" " 3.61213e-09" " 1" " 0.991993" " 1" " 0.995984"
1.03 " 34.4037" " 0.4" " 0.4" " 3.62954e-09" " 1" " 0.991993" " 1" " 0.995984"
1.035 " 34.4037" " 0.4" " 0.4" " 3.64695e-09" " 1" " 0.991993" " 1" " 0.995984"
1.04 " 34.4037" " 0.4" " 0.4" " 3.66436e-09" " 1" " 0.991993" " 1" " 0.995984"
1.045 " 34.4037" " 0.4" " 0.4" " 3.68176e-09" " 1" " 0.991993" " 1" " 0.995984"
1.05 " 34.4037" " 0.4" " 0.4" " 3.69917e-09" " 1" " 0.991993" " 1" " 0.995984"
1.055 " 34.4037" " 0.4" " 0.4" " 3.71658e-09" " 1" " 0.991993" " 1" " 0.995984"
1.06 " 34.4037" " 0.4" " 0.4" " 3.73399e-09" " 1" " 0.991993" " 1" " 0.995984"
1.065 " 34.4037" " 0.4" " 0.4" " 3.7514e-09" " 1" " 0.991993" " 1" " 0.995984"
1.07 " 34.4037" " 0.4" " 0.4" " 3.7688e-09" " 1" " 0.991993" " 1" " 0.995984"
1.075 " 34.4037" " 0.4" " 0.4" " 3.78621e-09" " 1" " 0.991993" " 1" " 0.995984"
1.08 " 34.4037" " 0.4" " 0.4" " 3.80362e-09" " 1" " 0.991993" " 1" " 0.995984"
1.085 " 34.4037" " 0.4" " 0.4" " 3.82103e-09" " 1" " 0.991993" " 1" " 0.995984"
1.09 " 34.4037" " 0.4" " 0.4" " 3.83843e-09" " 1" " 0.991993" " 1" " 0.995984"
1.095 " 34.4037" " 0.4" " 0.4" " 3.85584e-09" " 1" " 0.991993" " 1" " 0.995984"
1.1 " 34.4037" " 0.4" " 0.4" " 3.87325e-09" " 1" " 0.991993" " 1" " 0.995984"
1.105 " 34.4037" " 0.4" " 0.4" " 3.89066e-09" " 1" " 0.991993" " 1" " 0.995984"
1.11 " 34.4037" " 0.4" " 0.4" " 3.90807e-09" " 1" " 0.991993" " 1" " 0.995984"
1.115 " 34.4037" " 0.4" " 0.4" " 3.92547e-09" " 1" " 0.991993" " 1" " 0.995984"
1.12 " 34.4037" " 0.4" " 0.4" " 3.94288e-09" " 1" " 0.991993" " 1" " 0.995984"
1.125 " 34.4037" " 0.4" " 0.4" " 3.96029e-09" " 1" " 0.991993" " 1" " 0.995984"
1.13 " 34.4037" " 0.4" " 0.4" " 3.9777e-09" " 1" " 0.991993" " 1" " 0.995984"
1.135 " 34.4037" " 0.4" " 0.4" " 3.99511e-09" " 1" " 0.991993" " 1" " 0.995984"
1.14 " 34.4037" " 0.4" " 0.4" " 4.01251e-09" " 1" " 0.991993" " 1" " 0.995984"
1.145 " 34.4037" " 0.4" " 0.4" " 4.02992e-09" " 1" " 0.991993" " 1" " 0.995984"
1.15 " 34.4037" " 0.4" " 0.4" " 4.04733e-09" " 1" " 0.991993" " 1" " 0.995984"
1.155 " 34.4037" " 0.4" " 0.4" " 4.06474e-09" " 1" " 0.991993" " 1" " 0.995984"
1.16 " 34.4037" " 0.4" " 0.4" " 4.08214e-09" " 1" " 0.991993" " 1" " 0.995984"
1.165 " 34.4037" " 0.4" " 0.4" " 4.09955e-09" " 1" " 0.991993" " 1" " 0.995984"
1.17 " 34.4037" " 0.4" " 0.4" " 4.11696e-09" " 1" " 0.991993" " 1" " 0.995984"
1.175 " 34.4037" " 0.4" " 0.4" " 4.13437e-09" " 1" " 0.991993" " 1" " 0.995984"
1.18 " 34.4037" " 0.4" " 0.4" " 4.15178e-09" " 1" " 0.991993" " 1" " 0.995984"
1.185 " 34.4037" " 0.4" " 0.4" " 4.16918e-09" " 1" " 0.991993" " 1" " 0.995984"
1.19 " 34.4037" " 0.4" " 0.4" " 4.18659e-09" " 1" " 0.991993" " 1" " 0.995984"
