Time,gENSAE.delta,gENSAE.PELEC,gENSAE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.49,0.63950235,0.40000004,-1.9812656e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.492,0.63950235,0.40000004,-1.9868016e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.494,0.63950235,0.40000004,-1.9923152e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.496,0.63950235,0.40000004,-1.9978066e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.498,0.63950235,0.40000004,-2.0032755e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.5,0.63950235,0.40000004,-2.0087223e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.502,0.63950235,0.40000004,-2.0141466e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.504,0.63950235,0.40000004,-2.0195488e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.506,0.63950235,0.40000004,-2.0249284e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.508,0.63950235,0.40000004,-2.030286e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.51,0.63950235,0.40000004,-2.0356212e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.512,0.63950235,0.40000004,-2.040934e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.514,0.63950235,0.40000004,-2.0462245e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.516,0.63950235,0.40000004,-2.0514928e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.518,0.63950235,0.40000004,-2.0567388e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.52,0.63950235,0.40000004,-2.0619624e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.522,0.63950235,0.40000004,-2.0671636e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.524,0.63950235,0.40000004,-2.0723425e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.526,0.63950235,0.40000004,-2.077192e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.528,0.63950235,0.40000004,-2.0819628e-09,0.99999994,0.9919934,0.9999999,0.9959841
