Time,gENCLS2.delta,gENCLS2.P,gENCLS2.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.378,8.571378,0.39999995,-8.123462e-10,1.0,0.99199355,1.0,0.9959842
0.38,8.571378,0.39999995,-8.034301e-10,1.0,0.99199355,1.0,0.9959842
0.382,8.571378,0.39999995,-7.943949e-10,1.0,0.99199355,1.0,0.9959842
0.384,8.571378,0.39999995,-7.852419e-10,1.0,0.99199355,1.0,0.9959842
0.386,8.571378,0.39999995,-7.7597256e-10,1.0,0.99199355,1.0,0.9959842
0.388,8.571378,0.39999995,-7.665882e-10,1.0,0.99199355,1.0,0.9959842
0.39,8.571378,0.39999995,-7.5709017e-10,1.0,0.99199355,1.0,0.9959842
0.392,8.571378,0.39999995,-7.4747997e-10,1.0,0.99199355,1.0,0.9959842
0.394,8.571378,0.39999995,-7.377589e-10,1.0,0.99199355,1.0,0.9959842
0.396,8.571378,0.39999995,-7.2792855e-10,1.0,0.99199355,1.0,0.9959842
0.398,8.571378,0.39999995,-7.179902e-10,1.0,0.99199355,1.0,0.9959842
0.4,8.571377,0.39999995,-7.0794554e-10,1.0,0.99199355,1.0,0.9959842
0.402,8.571377,0.39999995,-6.977959e-10,1.0,0.99199355,1.0,0.9959842
0.404,8.571377,0.39999995,-6.875428e-10,1.0,0.99199355,1.0,0.9959842
0.406,8.571377,0.39999995,-6.7718775e-10,1.0,0.99199355,1.0,0.9959842
0.408,8.571377,0.39999995,-6.667324e-10,1.0,0.99199355,1.0,0.9959842
0.41,8.571377,0.39999995,-6.5617817e-10,1.0,0.99199355,1.0,0.9959842
0.412,8.571377,0.39999995,-6.455267e-10,1.0,0.99199355,1.0,0.9959842
0.414,8.571377,0.39999995,-6.3477956e-10,1.0,0.99199355,1.0,0.9959842
0.416,8.571377,0.39999995,-6.239383e-10,1.0,0.99199355,1.0,0.9959842
0.418,8.571377,0.39999995,-6.1300454e-10,1.0,0.99199355,1.0,0.9959842
0.42,8.571377,0.39999995,-6.019799e-10,1.0,0.99199355,1.0,0.9959842
0.422,8.571377,0.39999995,-5.908661e-10,1.0,0.99199355,1.0,0.9959842
0.424,8.571377,0.39999995,-5.7966465e-10,1.0,0.99199355,1.0,0.9959842
0.426,8.571377,0.39999995,-5.683773e-10,1.0,0.99199355,1.0,0.9959842
0.428,8.571377,0.39999995,-5.570057e-10,1.0,0.99199355,1.0,0.9959842
0.43,8.571377,0.39999992,-5.4555155e-10,1.0,0.99199355,1.0,0.9959842
0.432,8.571377,0.39999992,-5.340165e-10,1.0,0.99199355,1.0,0.9959842
0.434,8.571377,0.39999992,-5.2240234e-10,1.0,0.99199355,1.0,0.9959842
0.436,8.571377,0.39999992,-5.107107e-10,1.0,0.99199355,1.0,0.9959842
0.438,8.571377,0.39999992,-4.989434e-10,1.0,0.99199355,1.0,0.9959842
0.44,8.571377,0.39999992,-4.871021e-10,1.0,0.99199355,1.0,0.9959842
0.442,8.571377,0.39999992,-4.751886e-10,1.0,0.99199355,1.0,0.9959842
0.444,8.571377,0.39999992,-4.632047e-10,1.0,0.99199355,1.0,0.9959842
0.446,8.571377,0.39999992,-4.5115212e-10,1.0,0.99199355,1.0,0.9959842
0.448,8.571377,0.39999992,-4.3903264e-10,1.0,0.99199355,1.0,0.9959842
0.45,8.571377,0.39999992,-4.268481e-10,1.0,0.99199355,1.0,0.9959842
0.452,8.571377,0.39999992,-4.146003e-10,1.0,0.99199355,1.0,0.9959842
0.454,8.571377,0.39999992,-4.0229103e-10,1.0,0.99199355,1.0,0.9959842
0.456,8.571377,0.39999992,-3.8992215e-10,1.0,0.99199355,1.0,0.9959842
0.458,8.571377,0.39999992,-3.7749545e-10,1.0,0.99199355,1.0,0.9959842
0.46,8.571377,0.39999992,-3.650128e-10,1.0,0.99199355,1.0,0.9959842
0.462,8.571377,0.39999992,-3.5247605e-10,1.0,0.99199355,1.0,0.9959842
0.464,8.571377,0.39999992,-3.3988704e-10,1.0,0.99199355,1.0,0.9959842
0.466,8.571377,0.39999992,-3.2724765e-10,1.0,0.99199355,1.0,0.9959842
0.468,8.571377,0.39999992,-3.1455977e-10,1.0,0.99199355,1.0,0.9959842
0.47,8.571377,0.39999992,-3.0182523e-10,1.0,0.99199355,1.0,0.9959842
0.472,8.571377,0.39999992,-2.8904598e-10,1.0,0.99199355,1.0,0.9959842
0.474,8.571377,0.39999992,-2.7622388e-10,1.0,0.99199355,1.0,0.9959842
0.476,8.571377,0.39999992,-2.6336083e-10,1.0,0.99199355,1.0,0.9959842
0.478,8.571377,0.39999992,-2.5045874e-10,1.0,0.99199355,1.0,0.9959842
0.48,8.571377,0.39999992,-2.3751953e-10,1.0,0.99199355,1.0,0.9959842
0.482,8.571377,0.39999992,-2.245451e-10,1.0,0.99199355,1.0,0.9959842
0.484,8.571377,0.39999992,-2.115374e-10,1.0,0.99199355,1.0,0.9959842
0.486,8.571377,0.39999992,-1.9849833e-10,1.0,0.99199355,1.0,0.9959842
0.488,8.571377,0.39999992,-1.8542985e-10,1.0,0.99199355,1.0,0.9959842
0.49,8.571377,0.39999992,-1.7233388e-10,1.0,0.99199355,1.0,0.9959842
0.492,8.571377,0.39999992,-1.5921237e-10,1.0,0.99199355,1.0,0.9959842
0.494,8.571377,0.39999992,-1.4606726e-10,1.0,0.99199355,1.0,0.9959842
0.496,8.571377,0.39999992,-1.3290048e-10,1.0,0.99199355,1.0,0.9959842
0.498,8.571377,0.39999992,-1.1971402e-10,1.0,0.99199355,1.0,0.9959842
0.5,8.571377,0.39999992,-1.065098e-10,1.0,0.99199355,1.0,0.9959842
0.502,8.571377,0.39999992,-9.32898e-11,1.0,0.99199355,1.0,0.9959842
0.504,8.571377,0.39999992,-8.0055976e-11,1.0,0.99199355,1.0,0.9959842
0.506,8.571377,0.39999992,-6.681028e-11,1.0,0.99199355,1.0,0.9959842
0.508,8.571377,0.39999992,-5.3554678e-11,1.0,0.99199355,1.0,0.9959842
0.51,8.571377,0.39999992,-4.0291142e-11,1.0,0.99199355,1.0,0.9959842
0.512,8.571377,0.39999992,-2.7021631e-11,1.0,0.99199355,1.0,0.9959842
0.514,8.571377,0.39999992,-1.3748116e-11,1.0,0.99199355,1.0,0.9959842
0.516,8.571377,0.39999992,-4.725629e-13,1.0,0.99199355,1.0,0.9959842
0.518,8.571377,0.39999992,1.2803061e-11,1.0,0.99199355,1.0,0.9959842
0.52,8.571377,0.39999992,2.6076787e-11,1.0,0.99199355,1.0,0.9959842
0.522,8.571377,0.39999992,3.9346647e-11,1.0,0.99199355,1.0,0.9959842
0.524,8.571377,0.39999992,5.2610673e-11,1.0,0.99199355,1.0,0.9959842
0.526,8.571377,0.39999992,6.58669e-11,1.0,0.99199355,1.0,0.9959842
0.528,8.571377,0.39999992,7.911337e-11,1.0,0.99199355,1.0,0.9959842
0.53,8.571377,0.39999992,9.234811e-11,1.0,0.99199355,1.0,0.9959842
0.532,8.571377,0.39999992,1.0556916e-10,1.0,0.99199355,1.0,0.9959842
0.534,8.571377,0.39999992,1.1877456e-10,1.0,0.99199355,1.0,0.9959842
0.536,8.571377,0.39999992,1.3196236e-10,1.0,0.99199355,1.0,0.9959842
0.538,8.571377,0.39999992,1.451306e-10,1.0,0.99199355,1.0,0.9959842
0.54,8.571377,0.39999992,1.5827732e-10,1.0,0.99199355,1.0,0.9959842
0.542,8.571377,0.39999992,1.7140057e-10,1.0,0.99199355,1.0,0.9959842
0.544,8.571377,0.39999992,1.8449843e-10,1.0,0.99199355,1.0,0.9959842
0.546,8.571377,0.39999992,1.9756895e-10,1.0,0.99199355,1.0,0.9959842
0.548,8.571377,0.39999992,2.1061017e-10,1.0,0.99199355,1.0,0.9959842
0.55,8.571377,0.39999992,2.2362016e-10,1.0,0.99199355,1.0,0.9959842
0.552,8.571377,0.39999992,2.3659702e-10,1.0,0.99199355,1.0,0.9959842
0.554,8.571377,0.39999992,2.495388e-10,1.0,0.99199355,1.0,0.9959842
0.556,8.571377,0.39999992,2.624436e-10,1.0,0.99199355,1.0,0.9959842
0.558,8.571377,0.39999992,2.753095e-10,1.0,0.99199355,1.0,0.9959842
0.56,8.571377,0.39999992,2.881346e-10,1.0,0.99199355,1.0,0.9959842
0.562,8.571377,0.39999992,3.0091696e-10,1.0,0.99199355,1.0,0.9959842
0.564,8.571377,0.39999992,3.1365474e-10,1.0,0.99199355,1.0,0.9959842
0.566,8.571377,0.39999992,3.26346e-10,1.0,0.99199355,1.0,0.9959842
0.568,8.571377,0.39999992,3.3898892e-10,1.0,0.99199355,1.0,0.9959842
0.57,8.571377,0.39999992,3.5158157e-10,1.0,0.99199355,1.0,0.9959842
0.572,8.571377,0.39999992,3.6412212e-10,1.0,0.99199355,1.0,0.9959842
0.574,8.571377,0.39999992,3.766087e-10,1.0,0.99199355,1.0,0.9959842
0.576,8.571377,0.39999992,3.890394e-10,1.0,0.99199355,1.0,0.9959842
0.578,8.571377,0.39999992,4.014125e-10,1.0,0.99199355,1.0,0.9959842
0.58,8.571377,0.39999992,4.1372608e-10,1.0,0.99199355,1.0,0.9959842
0.582,8.571377,0.39999992,4.259783e-10,1.0,0.99199355,1.0,0.9959842
0.584,8.571377,0.39999992,4.3816742e-10,1.0,0.99199355,1.0,0.9959842
0.586,8.571377,0.39999992,4.5029158e-10,1.0,0.99199355,1.0,0.9959842
0.588,8.571377,0.39999992,4.62349e-10,1.0,0.99199355,1.0,0.9959842
0.59,8.571377,0.39999992,4.7433785e-10,1.0,0.99199355,1.0,0.9959842
0.592,8.571377,0.39999992,4.862564e-10,1.0,0.99199355,1.0,0.9959842
0.594,8.571377,0.39999992,4.9810295e-10,1.0,0.99199355,1.0,0.9959842
0.596,8.571377,0.39999992,5.098756e-10,1.0,0.99199355,1.0,0.9959842
0.598,8.571377,0.39999992,5.215727e-10,1.0,0.99199355,1.0,0.9959842
0.6,8.571377,0.39999992,5.3319243e-10,1.0,0.99199355,1.0,0.9959842
0.602,8.571377,0.39999992,5.4473315e-10,1.0,0.99199355,1.0,0.9959842
0.604,8.571377,0.39999995,5.5619315e-10,1.0,0.99199355,1.0,0.9959842
0.606,8.571377,0.39999995,5.6757066e-10,1.0,0.99199355,1.0,0.9959842
0.608,8.571377,0.39999995,5.7886407e-10,1.0,0.99199355,1.0,0.9959842
0.61,8.571377,0.39999995,5.9007166e-10,1.0,0.99199355,1.0,0.9959842
